date,close,predict,prob_up,real,correct,ret,equity,idx
2023-11-01,1780.99,涨↑,61.7,跌↓,✗,-0.08%,0.9992,250
2023-11-02,1779.5,涨↑,60.1,涨↑,✓,+1.78%,1.017,251
2023-11-03,1811.24,涨↑,61.9,涨↑,✓,+0.04%,1.0174,252
2023-11-06,1812.0,跌↓,49.9,跌↓,✓,-1.15%,1.0174,253
2023-11-07,1791.17,跌↓,46.1,涨↑,✗,+0.40%,1.0174,254
2023-11-08,1798.34,涨↑,55.6,跌↓,✗,-0.24%,1.015,255
2023-11-09,1794.11,涨↑,61.0,跌↓,✗,-1.02%,1.0047,256
2023-11-10,1775.84,涨↑,56.6,跌↓,✗,-0.67%,0.998,257
2023-11-13,1764.0,涨↑,61.4,涨↑,✓,+0.07%,0.9987,258
2023-11-14,1765.27,跌↓,49.5,涨↑,✗,+0.43%,0.9987,259
2023-11-15,1772.93,跌↓,34.8,跌↓,✓,-0.73%,0.9987,260
2023-11-16,1760.05,跌↓,39.0,跌↓,✓,-0.38%,0.9987,261
2023-11-17,1753.42,跌↓,40.4,涨↑,✗,+0.52%,0.9987,262
2023-11-20,1762.5,跌↓,46.3,涨↑,✗,+1.56%,0.9987,263
2023-11-21,1790.0,跌↓,45.7,跌↓,✓,-0.47%,0.9987,264
2023-11-22,1781.51,涨↑,57.5,涨↑,✓,+0.25%,1.0012,265
2023-11-23,1786.0,涨↑,54.1,跌↓,✗,-0.50%,0.9962,266
2023-11-24,1777.0,跌↓,50.3,跌↓,✓,-0.79%,0.9962,267
2023-11-27,1763.0,跌↓,48.5,涨↑,✗,+0.34%,0.9962,268
2023-11-28,1769.04,涨↑,55.2,涨↑,✓,+0.32%,0.9994,269
2023-11-29,1774.71,跌↓,47.3,涨↑,✗,+0.95%,0.9994,270
2023-11-30,1791.5,跌↓,50.6,跌↓,✓,-1.74%,0.9994,271
2023-12-01,1760.28,跌↓,44.5,跌↓,✓,-0.54%,0.9994,272
2023-12-04,1750.71,跌↓,40.8,跌↓,✓,-2.38%,0.9994,273
2023-12-05,1709.0,跌↓,40.7,跌↓,✓,-0.35%,0.9994,274
2023-12-06,1703.0,涨↑,59.8,跌↓,✗,-0.18%,0.9976,275
2023-12-07,1700.0,涨↑,55.9,涨↑,✓,+0.29%,1.0005,276
2023-12-08,1704.92,涨↑,54.5,跌↓,✗,-0.41%,0.9964,277
2023-12-11,1698.0,跌↓,40.4,涨↑,✗,+0.71%,0.9964,278
2023-12-12,1709.99,跌↓,52.1,跌↓,✓,-2.92%,0.9964,279
2023-11-15,1772.93,跌↓,34.9,跌↓,✓,-0.73%,0.9964,260
2023-11-16,1760.05,跌↓,38.6,跌↓,✓,-0.38%,0.9964,261
2023-11-17,1753.42,跌↓,38.8,涨↑,✗,+0.52%,0.9964,262
2023-11-20,1762.5,跌↓,42.5,涨↑,✗,+1.56%,0.9964,263
2023-11-21,1790.0,跌↓,43.4,跌↓,✓,-0.47%,0.9964,264
2023-11-22,1781.51,涨↑,59.1,涨↑,✓,+0.25%,0.9989,265
2023-11-23,1786.0,涨↑,55.3,跌↓,✗,-0.50%,0.9939,266
2023-11-24,1777.0,跌↓,51.1,跌↓,✓,-0.79%,0.9939,267
2023-11-27,1763.0,跌↓,47.6,涨↑,✗,+0.34%,0.9939,268
2023-11-28,1769.04,涨↑,57.4,涨↑,✓,+0.32%,0.9971,269
2023-11-29,1774.71,跌↓,45.4,涨↑,✗,+0.95%,0.9971,270
2023-11-30,1791.5,跌↓,49.9,跌↓,✓,-1.74%,0.9971,271
2023-12-01,1760.28,跌↓,45.3,跌↓,✓,-0.54%,0.9971,272
2023-12-04,1750.71,跌↓,41.2,跌↓,✓,-2.38%,0.9971,273
2023-12-05,1709.0,跌↓,42.4,跌↓,✓,-0.35%,0.9971,274
2023-12-06,1703.0,涨↑,59.8,跌↓,✗,-0.18%,0.9953,275
2023-12-07,1700.0,涨↑,55.7,涨↑,✓,+0.29%,0.9982,276
2023-12-08,1704.92,涨↑,52.1,跌↓,✗,-0.41%,0.9942,277
2023-12-11,1698.0,跌↓,42.0,涨↑,✗,+0.71%,0.9942,278
2023-12-12,1709.99,涨↑,53.9,跌↓,✗,-2.92%,0.9651,279
2023-12-13,1660.0,跌↓,51.0,跌↓,✓,-1.45%,0.9651,280
2023-12-14,1635.9,涨↑,59.1,涨↑,✓,+0.56%,0.9705,281
2023-12-15,1645.0,涨↑,55.3,涨↑,✓,+1.03%,0.9805,282
2023-12-18,1662.0,涨↑,56.2,涨↑,✓,+0.78%,0.9882,283
2023-12-19,1675.0,涨↑,58.4,跌↓,✗,-1.51%,0.9733,284
2023-12-20,1649.79,涨↑,62.2,涨↑,✓,+1.23%,0.9852,285
2023-12-21,1670.0,涨↑,55.2,涨↑,✓,+0.04%,0.9856,286
2023-12-22,1670.65,涨↑,58.3,涨↑,✓,+0.08%,0.9864,287
2023-12-25,1672.0,涨↑,53.9,跌↓,✗,-0.12%,0.9852,288
2023-12-26,1670.0,跌↓,46.3,跌↓,✓,-0.18%,0.9852,289
2023-11-29,1774.71,跌↓,46.8,涨↑,✗,+0.95%,0.9852,270
2023-11-30,1791.5,跌↓,51.6,跌↓,✓,-1.74%,0.9852,271
2023-12-01,1760.28,跌↓,49.1,跌↓,✓,-0.54%,0.9852,272
2023-12-04,1750.71,跌↓,39.8,跌↓,✓,-2.38%,0.9852,273
2023-12-05,1709.0,跌↓,41.8,跌↓,✓,-0.35%,0.9852,274
2023-12-06,1703.0,涨↑,62.2,跌↓,✗,-0.18%,0.9835,275
2023-12-07,1700.0,涨↑,59.3,涨↑,✓,+0.29%,0.9863,276
2023-12-08,1704.92,涨↑,54.8,跌↓,✗,-0.41%,0.9823,277
2023-12-11,1698.0,跌↓,45.7,涨↑,✗,+0.71%,0.9823,278
2023-12-12,1709.99,涨↑,52.5,跌↓,✗,-2.92%,0.9536,279
2023-12-13,1660.0,涨↑,54.4,跌↓,✗,-1.45%,0.9398,280
2023-12-14,1635.9,涨↑,57.2,涨↑,✓,+0.56%,0.945,281
2023-12-15,1645.0,涨↑,56.0,涨↑,✓,+1.03%,0.9548,282
2023-12-18,1662.0,涨↑,55.5,涨↑,✓,+0.78%,0.9622,283
2023-12-19,1675.0,涨↑,57.6,跌↓,✗,-1.51%,0.9477,284
2023-12-20,1649.79,涨↑,62.7,涨↑,✓,+1.23%,0.9594,285
2023-12-21,1670.0,涨↑,54.6,涨↑,✓,+0.04%,0.9597,286
2023-12-22,1670.65,涨↑,60.6,涨↑,✓,+0.08%,0.9605,287
2023-12-25,1672.0,涨↑,57.1,跌↓,✗,-0.12%,0.9594,288
2023-12-26,1670.0,跌↓,46.9,跌↓,✓,-0.18%,0.9594,289
2023-12-27,1667.06,涨↑,64.1,涨↑,✓,+3.47%,0.9927,290
2023-12-28,1724.99,涨↑,53.8,涨↑,✓,+0.06%,0.9933,291
2023-12-29,1726.0,涨↑,58.4,跌↓,✗,-2.37%,0.9697,292
2024-01-02,1685.01,跌↓,42.3,涨↑,✗,+0.53%,0.9697,293
2024-01-03,1694.0,跌↓,39.5,跌↓,✓,-1.48%,0.9697,294
2024-01-04,1669.0,跌↓,41.5,跌↓,✓,-0.34%,0.9697,295
2024-01-05,1663.36,跌↓,47.5,跌↓,✓,-1.16%,0.9697,296
2024-01-08,1643.99,涨↑,63.8,跌↓,✗,-0.18%,0.9679,297
2024-01-09,1641.0,涨↑,67.8,涨↑,✓,+0.03%,0.9682,298
2024-01-10,1641.5,涨↑,57.7,涨↑,✓,+0.31%,0.9712,299
2023-12-13,1660.0,跌↓,51.1,跌↓,✓,-1.45%,0.9712,280
2023-12-14,1635.9,涨↑,54.6,涨↑,✓,+0.56%,0.9766,281
2023-12-15,1645.0,涨↑,54.2,涨↑,✓,+1.03%,0.9867,282
2023-12-18,1662.0,涨↑,58.6,涨↑,✓,+0.78%,0.9944,283
2023-12-19,1675.0,涨↑,60.4,跌↓,✗,-1.51%,0.9795,284
2023-12-20,1649.79,涨↑,61.4,涨↑,✓,+1.23%,0.9915,285
2023-12-21,1670.0,跌↓,53.1,涨↑,✗,+0.04%,0.9915,286
2023-12-22,1670.65,涨↑,61.9,涨↑,✓,+0.08%,0.9923,287
2023-12-25,1672.0,涨↑,56.3,跌↓,✗,-0.12%,0.9911,288
2023-12-26,1670.0,跌↓,47.7,跌↓,✓,-0.18%,0.9911,289
2023-12-27,1667.06,涨↑,63.3,涨↑,✓,+3.47%,1.0255,290
2023-12-28,1724.99,涨↑,53.4,涨↑,✓,+0.06%,1.0261,291
2023-12-29,1726.0,涨↑,60.0,跌↓,✗,-2.37%,1.0017,292
2024-01-02,1685.01,跌↓,41.0,涨↑,✗,+0.53%,1.0017,293
2024-01-03,1694.0,跌↓,39.3,跌↓,✓,-1.48%,1.0017,294
2024-01-04,1669.0,跌↓,37.6,跌↓,✓,-0.34%,1.0017,295
2024-01-05,1663.36,跌↓,52.4,跌↓,✓,-1.16%,1.0017,296
2024-01-08,1643.99,涨↑,62.8,跌↓,✗,-0.18%,0.9999,297
2024-01-09,1641.0,涨↑,66.7,涨↑,✓,+0.03%,1.0002,298
2024-01-10,1641.5,涨↑,60.5,涨↑,✓,+0.31%,1.0033,299
2024-01-11,1646.57,涨↑,61.3,跌↓,✗,-0.21%,1.0012,300
2024-01-12,1643.06,跌↓,46.4,跌↓,✓,-0.19%,1.0012,301
2024-01-15,1640.0,跌↓,51.6,跌↓,✓,-0.03%,1.0012,302
2024-01-16,1639.43,跌↓,41.6,跌↓,✓,-3.81%,1.0012,303
2024-01-17,1577.0,跌↓,39.9,涨↑,✗,+2.15%,1.0012,304
2024-01-18,1610.87,跌↓,44.2,涨↑,✗,+1.50%,1.0012,305
2024-01-19,1635.0,跌↓,52.6,涨↑,✗,+0.43%,1.0012,306
2024-01-22,1642.0,跌↓,40.0,跌↓,✓,-1.40%,1.0012,307
2024-01-23,1619.0,涨↑,61.6,涨↑,✓,+0.43%,1.0055,308
2024-01-24,1626.0,跌↓,49.3,涨↑,✗,+0.74%,1.0055,309
2023-12-27,1667.06,涨↑,64.0,涨↑,✓,+3.47%,1.0404,290
2023-12-28,1724.99,涨↑,55.3,涨↑,✓,+0.06%,1.0411,291
2023-12-29,1726.0,涨↑,55.1,跌↓,✗,-2.37%,1.0163,292
2024-01-02,1685.01,跌↓,39.8,涨↑,✗,+0.53%,1.0163,293
2024-01-03,1694.0,跌↓,36.1,跌↓,✓,-1.48%,1.0163,294
2024-01-04,1669.0,跌↓,37.6,跌↓,✓,-0.34%,1.0163,295
2024-01-05,1663.36,跌↓,51.5,跌↓,✓,-1.16%,1.0163,296
2024-01-08,1643.99,涨↑,63.5,跌↓,✗,-0.18%,1.0145,297
2024-01-09,1641.0,涨↑,63.9,涨↑,✓,+0.03%,1.0148,298
2024-01-10,1641.5,涨↑,61.7,涨↑,✓,+0.31%,1.0179,299
2024-01-11,1646.57,涨↑,55.9,跌↓,✗,-0.21%,1.0158,300
2024-01-12,1643.06,跌↓,48.7,跌↓,✓,-0.19%,1.0158,301
2024-01-15,1640.0,跌↓,51.5,跌↓,✓,-0.03%,1.0158,302
2024-01-16,1639.43,跌↓,43.1,跌↓,✓,-3.81%,1.0158,303
2024-01-17,1577.0,跌↓,41.9,涨↑,✗,+2.15%,1.0158,304
2024-01-18,1610.87,跌↓,41.8,涨↑,✗,+1.50%,1.0158,305
2024-01-19,1635.0,跌↓,48.4,涨↑,✗,+0.43%,1.0158,306
2024-01-22,1642.0,跌↓,38.7,跌↓,✓,-1.40%,1.0158,307
2024-01-23,1619.0,涨↑,56.6,涨↑,✓,+0.43%,1.0201,308
2024-01-24,1626.0,跌↓,50.4,涨↑,✗,+0.74%,1.0201,309
2024-01-25,1638.0,涨↑,56.1,跌↓,✗,-0.04%,1.0197,310
2024-01-26,1637.32,跌↓,53.0,涨↑,✗,+0.77%,1.0197,311
2024-01-29,1650.0,涨↑,59.7,跌↓,✗,-2.24%,0.9969,312
2024-01-30,1613.0,涨↑,61.4,跌↓,✗,-0.50%,0.9919,313
2024-01-31,1604.91,涨↑,58.9,涨↑,✓,+0.32%,0.995,314
2024-02-01,1610.03,涨↑,66.6,跌↓,✗,-0.87%,0.9863,315
2024-02-02,1596.0,涨↑,64.2,涨↑,✓,+2.13%,1.0074,316
2024-02-05,1630.01,涨↑,62.0,涨↑,✓,+2.82%,1.0358,317
2024-02-06,1676.0,跌↓,46.3,涨↑,✗,+2.09%,1.0358,318
2024-02-07,1710.99,跌↓,40.5,跌↓,✓,-0.29%,1.0358,319
2024-01-11,1646.57,涨↑,55.7,跌↓,✗,-0.21%,1.0336,300
2024-01-12,1643.06,跌↓,50.1,跌↓,✓,-0.19%,1.0336,301
2024-01-15,1640.0,涨↑,55.7,跌↓,✗,-0.03%,1.0332,302
2024-01-16,1639.43,跌↓,44.0,跌↓,✓,-3.81%,1.0332,303
2024-01-17,1577.0,跌↓,37.9,涨↑,✗,+2.15%,1.0332,304
2024-01-18,1610.87,跌↓,39.5,涨↑,✗,+1.50%,1.0332,305
2024-01-19,1635.0,跌↓,47.5,涨↑,✗,+0.43%,1.0332,306
2024-01-22,1642.0,跌↓,36.7,跌↓,✓,-1.40%,1.0332,307
2024-01-23,1619.0,涨↑,57.3,涨↑,✓,+0.43%,1.0377,308
2024-01-24,1626.0,跌↓,50.5,涨↑,✗,+0.74%,1.0377,309
2024-01-25,1638.0,跌↓,51.5,跌↓,✓,-0.04%,1.0377,310
2024-01-26,1637.32,跌↓,50.5,涨↑,✗,+0.77%,1.0377,311
2024-01-29,1650.0,涨↑,56.7,跌↓,✗,-2.24%,1.0144,312
2024-01-30,1613.0,涨↑,60.0,跌↓,✗,-0.50%,1.0093,313
2024-01-31,1604.91,涨↑,54.3,涨↑,✓,+0.32%,1.0126,314
2024-02-01,1610.03,涨↑,60.1,跌↓,✗,-0.87%,1.0037,315
2024-02-02,1596.0,涨↑,62.3,涨↑,✓,+2.13%,1.0251,316
2024-02-05,1630.01,涨↑,59.5,涨↑,✓,+2.82%,1.054,317
2024-02-06,1676.0,跌↓,49.2,涨↑,✗,+2.09%,1.054,318
2024-02-07,1710.99,跌↓,43.3,跌↓,✓,-0.29%,1.054,319
2024-02-08,1706.0,涨↑,57.8,跌↓,✗,-0.62%,1.0475,320
2024-02-19,1695.43,跌↓,47.7,跌↓,✓,-1.50%,1.0475,321
2024-02-20,1670.0,跌↓,40.1,涨↑,✗,+2.85%,1.0475,322
2024-02-21,1717.66,跌↓,39.8,涨↑,✗,+0.04%,1.0475,323
2024-02-22,1718.38,跌↓,40.7,跌↓,✓,-0.25%,1.0475,324
2024-02-23,1714.09,跌↓,51.7,跌↓,✓,-1.11%,1.0475,325
2024-02-26,1694.98,跌↓,33.2,跌↓,✓,-0.32%,1.0475,326
2024-02-27,1689.5,跌↓,45.3,跌↓,✓,-0.47%,1.0475,327
2024-02-28,1681.55,跌↓,32.9,涨↑,✗,+0.80%,1.0475,328
2024-02-29,1695.0,跌↓,43.4,跌↓,✓,-0.59%,1.0475,329
2024-01-25,1638.0,涨↑,58.4,跌↓,✗,-0.04%,1.0471,310
2024-01-26,1637.32,跌↓,54.1,涨↑,✗,+0.77%,1.0471,311
2024-01-29,1650.0,涨↑,60.7,跌↓,✗,-2.24%,1.0236,312
2024-01-30,1613.0,涨↑,67.5,跌↓,✗,-0.50%,1.0185,313
2024-01-31,1604.91,涨↑,62.7,涨↑,✓,+0.32%,1.0217,314
2024-02-01,1610.03,涨↑,66.0,跌↓,✗,-0.87%,1.0128,315
2024-02-02,1596.0,涨↑,66.2,涨↑,✓,+2.13%,1.0344,316
2024-02-05,1630.01,涨↑,63.6,涨↑,✓,+2.82%,1.0636,317
2024-02-06,1676.0,跌↓,53.3,涨↑,✗,+2.09%,1.0636,318
2024-02-07,1710.99,跌↓,42.5,跌↓,✓,-0.29%,1.0636,319
2024-02-08,1706.0,涨↑,60.7,跌↓,✗,-0.62%,1.057,320
2024-02-19,1695.43,跌↓,54.3,跌↓,✓,-1.50%,1.057,321
2024-02-20,1670.0,跌↓,44.7,涨↑,✗,+2.85%,1.057,322
2024-02-21,1717.66,跌↓,36.8,涨↑,✗,+0.04%,1.057,323
2024-02-22,1718.38,跌↓,42.0,跌↓,✓,-0.25%,1.057,324
2024-02-23,1714.09,跌↓,46.6,跌↓,✓,-1.11%,1.057,325
2024-02-26,1694.98,跌↓,34.9,跌↓,✓,-0.32%,1.057,326
2024-02-27,1689.5,跌↓,47.8,跌↓,✓,-0.47%,1.057,327
2024-02-28,1681.55,跌↓,35.7,涨↑,✗,+0.80%,1.057,328
2024-02-29,1695.0,跌↓,47.5,跌↓,✓,-0.59%,1.057,329
2024-03-01,1685.06,跌↓,41.2,跌↓,✓,-0.52%,1.057,330
2024-03-04,1676.3,跌↓,40.1,涨↑,✗,+1.12%,1.057,331
2024-03-05,1695.1,跌↓,30.0,跌↓,✓,-0.86%,1.057,332
2024-03-06,1680.55,跌↓,34.9,涨↑,✗,+0.18%,1.057,333
2024-03-07,1683.63,跌↓,36.9,跌↓,✓,-0.72%,1.057,334
2024-03-08,1671.43,跌↓,49.0,涨↑,✗,+1.38%,1.057,335
2024-03-11,1694.49,跌↓,28.9,涨↑,✗,+2.98%,1.057,336
2024-03-12,1745.0,跌↓,29.4,跌↓,✓,-1.01%,1.057,337
2024-03-13,1727.45,跌↓,31.8,跌↓,✓,-0.63%,1.057,338
2024-03-14,1716.63,跌↓,46.0,涨↑,✗,+0.05%,1.057,339
2024-02-08,1706.0,涨↑,58.0,跌↓,✗,-0.62%,1.0504,320
2024-02-19,1695.43,跌↓,49.3,跌↓,✓,-1.50%,1.0504,321
2024-02-20,1670.0,跌↓,42.4,涨↑,✗,+2.85%,1.0504,322
2024-02-21,1717.66,跌↓,39.4,涨↑,✗,+0.04%,1.0504,323
2024-02-22,1718.38,跌↓,41.1,跌↓,✓,-0.25%,1.0504,324
2024-02-23,1714.09,跌↓,49.9,跌↓,✓,-1.11%,1.0504,325
2024-02-26,1694.98,跌↓,37.8,跌↓,✓,-0.32%,1.0504,326
2024-02-27,1689.5,跌↓,49.5,跌↓,✓,-0.47%,1.0504,327
2024-02-28,1681.55,跌↓,39.0,涨↑,✗,+0.80%,1.0504,328
2024-02-29,1695.0,跌↓,47.1,跌↓,✓,-0.59%,1.0504,329
2024-03-01,1685.06,跌↓,47.7,跌↓,✓,-0.52%,1.0504,330
2024-03-04,1676.3,跌↓,40.3,涨↑,✗,+1.12%,1.0504,331
2024-03-05,1695.1,跌↓,37.4,跌↓,✓,-0.86%,1.0504,332
2024-03-06,1680.55,跌↓,38.5,涨↑,✗,+0.18%,1.0504,333
2024-03-07,1683.63,跌↓,39.6,跌↓,✓,-0.72%,1.0504,334
2024-03-08,1671.43,涨↑,52.9,涨↑,✓,+1.38%,1.0649,335
2024-03-11,1694.49,跌↓,32.6,涨↑,✗,+2.98%,1.0649,336
2024-03-12,1745.0,跌↓,38.1,跌↓,✓,-1.01%,1.0649,337
2024-03-13,1727.45,跌↓,37.2,跌↓,✓,-0.63%,1.0649,338
2024-03-14,1716.63,跌↓,47.0,涨↑,✗,+0.05%,1.0649,339
2024-03-15,1717.49,跌↓,41.8,跌↓,✓,-0.54%,1.0649,340
2024-03-18,1708.26,跌↓,34.2,跌↓,✓,-0.01%,1.0649,341
2024-03-19,1708.02,跌↓,28.6,涨↑,✗,+0.09%,1.0649,342
2024-03-20,1709.6,跌↓,30.1,跌↓,✓,-0.04%,1.0649,343
2024-03-21,1709.0,跌↓,31.6,跌↓,✓,-0.45%,1.0649,344
2024-03-22,1701.35,跌↓,32.4,跌↓,✓,-0.73%,1.0649,345
2024-03-25,1689.01,跌↓,46.2,涨↑,✗,+1.20%,1.0649,346
2024-03-26,1709.29,跌↓,43.6,跌↓,✓,-0.48%,1.0649,347
2024-03-27,1701.0,跌↓,49.8,涨↑,✗,+0.04%,1.0649,348
2024-03-28,1701.64,跌↓,46.4,涨↑,✗,+0.07%,1.0649,349
2024-03-01,1685.06,跌↓,41.9,跌↓,✓,-0.52%,1.0649,330
2024-03-04,1676.3,跌↓,37.5,涨↑,✗,+1.12%,1.0649,331
2024-03-05,1695.1,跌↓,35.0,跌↓,✓,-0.86%,1.0649,332
2024-03-06,1680.55,跌↓,32.2,涨↑,✗,+0.18%,1.0649,333
2024-03-07,1683.63,跌↓,38.6,跌↓,✓,-0.72%,1.0649,334
2024-03-08,1671.43,跌↓,44.9,涨↑,✗,+1.38%,1.0649,335
2024-03-11,1694.49,跌↓,31.7,涨↑,✗,+2.98%,1.0649,336
2024-03-12,1745.0,跌↓,35.5,跌↓,✓,-1.01%,1.0649,337
2024-03-13,1727.45,跌↓,33.6,跌↓,✓,-0.63%,1.0649,338
2024-03-14,1716.63,跌↓,43.6,涨↑,✗,+0.05%,1.0649,339
2024-03-15,1717.49,跌↓,37.6,跌↓,✓,-0.54%,1.0649,340
2024-03-18,1708.26,跌↓,32.9,跌↓,✓,-0.01%,1.0649,341
2024-03-19,1708.02,跌↓,28.8,涨↑,✗,+0.09%,1.0649,342
2024-03-20,1709.6,跌↓,28.7,跌↓,✓,-0.04%,1.0649,343
2024-03-21,1709.0,跌↓,30.4,跌↓,✓,-0.45%,1.0649,344
2024-03-22,1701.35,跌↓,33.2,跌↓,✓,-0.73%,1.0649,345
2024-03-25,1689.01,跌↓,46.2,涨↑,✗,+1.20%,1.0649,346
2024-03-26,1709.29,跌↓,43.6,跌↓,✓,-0.48%,1.0649,347
2024-03-27,1701.0,跌↓,47.0,涨↑,✗,+0.04%,1.0649,348
2024-03-28,1701.64,跌↓,46.3,涨↑,✗,+0.07%,1.0649,349
2024-03-29,1702.9,跌↓,36.9,涨↑,✗,+1.08%,1.0649,350
2024-04-01,1721.33,跌↓,39.5,跌↓,✓,-0.43%,1.0649,351
2024-04-02,1713.99,跌↓,32.6,涨↑,✗,+0.07%,1.0649,352
2024-04-03,1715.11,跌↓,40.7,跌↓,✓,-2.82%,1.0649,353
2024-04-08,1666.66,跌↓,45.8,跌↓,✓,-0.27%,1.0649,354
2024-04-09,1662.22,跌↓,48.3,跌↓,✓,-0.86%,1.0649,355
2024-04-10,1647.98,涨↑,54.1,涨↑,✓,+0.00%,1.0649,356
2024-04-11,1648.0,涨↑,56.0,跌↓,✗,-0.85%,1.0559,357
2024-04-12,1634.03,涨↑,62.2,涨↑,✓,+2.38%,1.0811,358
2024-04-15,1672.98,跌↓,38.6,跌↓,✓,-0.18%,1.0811,359
2024-03-15,1717.49,跌↓,42.9,跌↓,✓,-0.54%,1.0811,340
2024-03-18,1708.26,跌↓,42.9,跌↓,✓,-0.01%,1.0811,341
2024-03-19,1708.02,跌↓,31.4,涨↑,✗,+0.09%,1.0811,342
2024-03-20,1709.6,跌↓,35.4,跌↓,✓,-0.04%,1.0811,343
2024-03-21,1709.0,跌↓,33.6,跌↓,✓,-0.45%,1.0811,344
2024-03-22,1701.35,跌↓,33.4,跌↓,✓,-0.73%,1.0811,345
2024-03-25,1689.01,跌↓,44.0,涨↑,✗,+1.20%,1.0811,346
2024-03-26,1709.29,跌↓,45.6,跌↓,✓,-0.48%,1.0811,347
2024-03-27,1701.0,跌↓,51.1,涨↑,✗,+0.04%,1.0811,348
2024-03-28,1701.64,跌↓,49.4,涨↑,✗,+0.07%,1.0811,349
2024-03-29,1702.9,跌↓,40.7,涨↑,✗,+1.08%,1.0811,350
2024-04-01,1721.33,跌↓,44.0,跌↓,✓,-0.43%,1.0811,351
2024-04-02,1713.99,跌↓,38.5,涨↑,✗,+0.07%,1.0811,352
2024-04-03,1715.11,跌↓,44.6,跌↓,✓,-2.82%,1.0811,353
2024-04-08,1666.66,跌↓,43.9,跌↓,✓,-0.27%,1.0811,354
2024-04-09,1662.22,跌↓,50.2,跌↓,✓,-0.86%,1.0811,355
2024-04-10,1647.98,涨↑,53.1,涨↑,✓,+0.00%,1.0811,356
2024-04-11,1648.0,涨↑,53.0,跌↓,✗,-0.85%,1.0719,357
2024-04-12,1634.03,涨↑,62.3,涨↑,✓,+2.38%,1.0975,358
2024-04-15,1672.98,跌↓,42.2,跌↓,✓,-0.18%,1.0975,359
2024-04-16,1670.0,跌↓,43.4,跌↓,✓,-0.18%,1.0975,360
2024-04-17,1667.0,涨↑,54.3,涨↑,✓,+0.23%,1.1,361
2024-04-18,1670.78,跌↓,47.9,跌↓,✓,-1.44%,1.1,362
2024-04-19,1646.64,跌↓,43.1,涨↑,✗,+1.73%,1.1,363
2024-04-22,1675.06,跌↓,39.0,涨↑,✗,+1.03%,1.1,364
2024-04-23,1692.28,涨↑,54.2,涨↑,✓,+0.08%,1.1008,365
2024-04-24,1693.6,跌↓,47.7,跌↓,✓,-0.03%,1.1008,366
2024-04-25,1693.04,跌↓,42.4,涨↑,✗,+0.97%,1.1008,367
2024-04-26,1709.43,跌↓,44.8,跌↓,✓,-0.32%,1.1008,368
2024-04-29,1704.0,跌↓,48.9,涨↑,✗,+0.06%,1.1008,369
2024-03-29,1702.9,跌↓,46.9,涨↑,✗,+1.08%,1.1008,350
2024-04-01,1721.33,跌↓,44.5,跌↓,✓,-0.43%,1.1008,351
2024-04-02,1713.99,跌↓,41.8,涨↑,✗,+0.07%,1.1008,352
2024-04-03,1715.11,跌↓,45.4,跌↓,✓,-2.82%,1.1008,353
2024-04-08,1666.66,跌↓,51.5,跌↓,✓,-0.27%,1.1008,354
2024-04-09,1662.22,跌↓,50.4,跌↓,✓,-0.86%,1.1008,355
2024-04-10,1647.98,涨↑,57.4,涨↑,✓,+0.00%,1.1008,356
2024-04-11,1648.0,涨↑,56.8,跌↓,✗,-0.85%,1.0915,357
2024-04-12,1634.03,涨↑,62.7,涨↑,✓,+2.38%,1.1175,358
2024-04-15,1672.98,跌↓,43.4,跌↓,✓,-0.18%,1.1175,359
