代码,名称,综合得分,回调深度,收盘价,ROE(%),净利润增长(%),每股收益,近10日涨幅%,详细理由
688480,赛恩斯,11.0,中回调,85.49,7.88,456.41,0.852,4.4,小幅涨:近10日+4% | 回调至MA20(85.77):-0.3% | MACD红柱(已启动) | RSI14=50(回升区) | KDJ金叉(K=54) | 乖离正常:BIAS20=-0.3% | 量能健康(0.9xMA20)
1337,四川黄金,10.5,中回调,48.95,5.34,24.12,0.183,6.3,上涨:近10日+6% | 回调至MA20(49.05):-0.2% | MACD红柱(已启动) | RSI14=61(正常区) | KDJ金叉(K=56) | 乖离正常:BIAS20=-0.2% | 量能健康(0.6xMA20)
601702,华峰铝业,10.5,中回调,19.86,5.31,49.52,0.254,6.1,上涨:近10日+6% | 回调至MA20(19.71):+0.8% | MACD红柱(已启动) | RSI14=57(正常区) | KDJ金叉(K=64) | 乖离正常:BIAS20=0.8% | 量能健康(0.7xMA20)
