代码,名称,数据日期,综合得分,回调深度,收盘价,MA5,MA10,MA20,MA60,RSI6,RSI14,MACD柱,KDJ_K,KDJ_D,KDJ_J,量/MA20量,近10日涨幅%,近20日涨幅%,ATR,BIAS5,详细理由
000021,深科技,2026-04-13,11.0,中回调,28.25,27.58,26.87,28.63,29.89,95.5,48.9,0.0855,68.4,48.0,109.3,0.65,2.8,-8.6,1.27,2.4,小幅涨:近10日+3% | 回调至MA20(28.63):-1.3% | MACD红柱(已启动) | RSI14=49(回升区) | KDJ金叉(K=68) | 乖离正常:BIAS20=-1.3% | 量能健康(0.7xMA20)
000066,中国长城,2026-04-13,10.5,中回调,15.39,14.92,14.77,15.11,16.03,80.0,63.4,0.0661,56.6,40.1,89.5,1.29,2.1,-6.2,0.58,3.2,小幅涨:近10日+2% | 回调至MA20(15.11):+1.8% | MACD红柱(已启动) | RSI14=63(正常区) | KDJ金叉(K=57) | 乖离正常:BIAS20=1.8% | 量能健康(1.3xMA20) | 量开始放大
000617,中油资本,2026-04-13,10.5,中回调,10.08,10.53,10.36,10.32,9.55,52.6,48.9,-0.054,31.0,41.2,10.7,0.56,-5.3,13.5,0.74,-4.3,强势:近20日+14% | 回调至MA20(10.32):-2.3% | MACD绿柱(-0.0540) | RSI14=49(回升区) | KDJ超卖J=11 | 乖离正常:BIAS20=-2.3% | 量能健康(0.6xMA20)
000672,上峰水泥,2026-04-13,10.5,中回调,13.12,13.24,13.08,13.06,13.8,55.0,63.1,0.0896,64.7,61.2,71.7,0.88,3.7,-5.9,0.41,-0.9,小幅涨:近10日+4% | 回调至MA20(13.06):+0.5% | MACD红柱(已启动) | RSI14=63(正常区) | KDJ金叉(K=65) | 乖离正常:BIAS20=0.5% | 量能健康(0.9xMA20) | 量开始放大
000157,中联重科,2026-04-13,10.0,中回调,8.7,8.68,8.62,8.6,9.05,59.8,61.8,0.0465,63.5,58.5,73.5,0.79,2.4,-5.0,0.29,0.3,小幅涨:近10日+2% | 回调至MA20(8.60):+1.2% | MACD红柱(已启动) | RSI14=62(正常区) | KDJ金叉(K=63) | 乖离正常:BIAS20=1.2% | 量能健康(0.8xMA20)
000636,风华高科,2026-04-13,10.0,中回调,20.49,19.71,19.36,20.16,21.09,92.3,57.8,0.0972,66.4,45.6,108.0,0.97,4.5,-5.6,0.83,3.9,小幅涨:近10日+4% | 回调至MA20(20.16):+1.7% | MACD红柱(已启动) | RSI14=58(正常区) | KDJ金叉(K=66) | 乖离正常:BIAS20=1.7% | 量能健康(1.0xMA20)
000725,京东方Ａ,2026-04-13,10.0,中回调,4.03,4.0,3.98,4.01,4.27,68.2,62.9,0.018,65.7,53.4,90.3,0.82,2.0,-7.6,0.08,0.6,小幅涨:近10日+2% | 回调至MA20(4.01):+0.4% | MACD红柱(已启动) | RSI14=63(正常区) | KDJ金叉(K=66) | 乖离正常:BIAS20=0.4% | 量能健康(0.8xMA20)
000727,冠捷科技,2026-04-13,10.0,中回调,2.74,2.74,2.67,2.69,2.65,71.4,58.7,0.0107,61.6,52.3,80.2,0.8,2.2,-0.7,0.12,0.0,小幅涨:近10日+2% | 回调至MA20(2.69):+1.7% | MACD红柱(已启动) | RSI14=59(正常区) | KDJ金叉(K=62) | 乖离正常:BIAS20=1.7% | 量能健康(0.8xMA20)
000788,北大医药,2026-04-13,10.0,轻回调,6.14,6.53,6.55,6.17,6.19,14.0,61.3,0.0231,35.2,51.8,1.9,1.23,3.9,1.0,0.4,-6.0,小幅涨:近10日+4% | 回调至MA10下:-6.3% | MACD红柱(已启动) | RSI14=61(正常区) | KDJ超卖J=2 | 乖离正常:BIAS20=-0.5% | 量能健康(1.2xMA20)
000815,美利云,2026-04-13,10.0,布林撑,20.28,19.78,19.75,19.38,15.87,57.6,53.8,-0.1823,56.6,50.2,69.3,1.01,-0.0,19.6,1.65,2.5,强势:近20日+20% | 布林下轨(16.71)获撑 | RSI14=54(回升区) | RSI6金叉RSI14 | KDJ金叉(K=57) | 量能健康(1.0xMA20) | 量开始放大
