代码,名称,数据日期,综合得分,回调深度,收盘价,MA5,MA10,MA20,MA60,RSI6,RSI14,MACD柱,KDJ_K,KDJ_D,KDJ_J,量/MA20量,近10日涨幅%,近20日涨幅%,ATR,BIAS5,详细理由
300113,顺网科技,2026-04-13,12.5,中回调,28.61,27.75,27.47,27.82,26.23,66.0,51.5,-0.0265,60.9,49.1,84.5,0.78,2.8,6.3,1.88,3.1,小幅涨:近10日+3% | 回调至MA20(27.82):+2.8% | MACD绿柱收窄(-0.0265) | RSI14=51(回升区) | RSI6金叉RSI14 | KDJ金叉(K=61) | 乖离正常:BIAS20=2.8% | 量能健康(0.8xMA20)
002565,顺灏股份,2026-04-13,12.0,中回调,16.42,16.7,16.41,16.08,16.26,52.9,46.7,0.095,60.8,64.5,53.3,0.54,7.5,24.5,1.23,-1.7,强势:近20日+24% | 回调至MA20(16.08):+2.1% | MACD红柱(已启动) | RSI14=47(回升区) | RSI6金叉RSI14 | 乖离正常:BIAS20=2.1% | 量能健康(0.5xMA20)
600410,华胜天成,2026-04-13,12.0,中回调,26.76,26.93,26.18,26.04,24.75,71.2,61.0,0.0683,66.8,62.2,76.0,0.69,7.9,-6.4,1.28,-0.6,上涨:近10日+8% | 回调至MA20(26.04):+2.7% | MACD红柱(已启动) | RSI14=61(正常区) | RSI6金叉RSI14 | KDJ金叉(K=67) | 乖离正常:BIAS20=2.7% | 量能健康(0.7xMA20)
601020,华钰矿业,2026-04-13,12.0,中回调,29.7,28.59,27.92,29.82,32.02,76.6,44.4,0.074,64.9,50.9,93.1,1.99,6.1,-14.8,1.42,3.9,上涨:近10日+6% | 回调至MA20(29.82):-0.4% | MACD红柱(已启动) | RSI14=44(回升区) | KDJ金叉(K=65) | 乖离正常:BIAS20=-0.4% | 量能健康(2.0xMA20) | 量开始放大
603319,美湖股份,2026-04-13,12.0,中回调,33.97,32.46,31.7,33.02,35.86,77.4,46.8,0.2933,68.2,49.7,105.1,1.53,6.7,-4.8,1.55,4.7,上涨:近10日+7% | 回调至MA20(33.02):+2.9% | MACD红柱(已启动) | RSI14=47(回升区) | KDJ金叉(K=68) | 乖离正常:BIAS20=2.9% | 量能健康(1.5xMA20) | 量开始放大
603325,博隆技术,2026-04-13,12.0,中回调,73.8,73.49,73.08,73.49,78.79,73.5,61.4,0.3825,69.4,61.9,84.6,1.04,2.9,-3.1,1.9,0.4,小幅涨:近10日+3% | 回调至MA20(73.49):+0.4% | MACD红柱(已启动) | RSI14=61(正常区) | RSI6金叉RSI14 | KDJ金叉(K=69) | 乖离正常:BIAS20=0.4% | 量能健康(1.0xMA20) | 量开始放大
688375,国博电子,2026-04-13,12.0,中回调,110.5,108.59,108.52,108.11,119.9,63.7,59.3,0.7387,56.5,47.5,74.3,1.15,5.7,-1.3,5.75,1.8,小幅涨:近10日+6% | 回调至MA20(108.11):+2.2% | MACD红柱(已启动) | RSI14=59(正常区) | RSI6金叉RSI14 | KDJ金叉(K=56) | 乖离正常:BIAS20=2.2% | 量能健康(1.2xMA20) | 量开始放大
000920,沃顿科技,2026-04-13,11.5,中回调,11.89,11.57,11.41,11.98,12.79,69.7,47.3,0.0345,65.1,44.5,106.3,0.68,3.8,-14.9,0.43,2.8,小幅涨:近10日+4% | 回调至MA20(11.98):-0.8% | MACD红柱(已启动) | RSI14=47(回升区) | KDJ金叉(K=65) | 乖离正常:BIAS20=-0.8% | 量能健康(0.7xMA20) | 量开始放大
000917,电广传媒,2026-04-13,11.5,中回调,9.74,9.62,9.49,9.56,10.68,66.4,61.1,0.0986,63.3,51.3,87.4,0.79,4.4,-2.3,0.37,1.3,小幅涨:近10日+4% | 回调至MA20(9.56):+1.9% | MACD红柱(已启动) | RSI14=61(正常区) | RSI6金叉RSI14 | KDJ金叉(K=63) | 乖离正常:BIAS20=1.9% | 量能健康(0.8xMA20)
002772,众兴菌业,2026-04-13,11.5,中回调,16.62,17.07,16.75,17.09,16.93,47.1,43.7,0.0204,62.0,59.2,67.6,0.88,5.7,-9.8,0.88,-2.6,小幅涨:近10日+6% | 回调至MA20(17.09):-2.8% | MACD红柱(已启动) | RSI14=44(回升区) | KDJ金叉(K=62) | 乖离正常:BIAS20=-2.8% | 量能健康(0.9xMA20) | 量开始放大
