date,close,predict,prob_up,real,correct,ret,equity
2024-03-29,1702.9,跌↓,47.4,涨↑,✗,+1.08%,1.0
2024-04-01,1721.33,跌↓,35.3,跌↓,✓,-0.43%,1.0
2024-04-02,1713.99,跌↓,39.0,涨↑,✗,+0.07%,1.0
2024-04-03,1715.11,跌↓,47.2,跌↓,✓,-2.82%,1.0
2024-04-08,1666.66,跌↓,47.3,跌↓,✓,-0.27%,1.0
2024-04-09,1662.22,涨↑,58.0,跌↓,✗,-0.86%,0.9914
2024-04-10,1647.98,跌↓,50.1,涨↑,✗,+0.00%,0.9914
2024-04-11,1648.0,跌↓,45.4,跌↓,✓,-0.85%,0.9914
2024-04-12,1634.03,涨↑,56.5,涨↑,✓,+2.38%,1.0151
2024-04-15,1672.98,跌↓,46.6,跌↓,✓,-0.18%,1.0151
2024-04-16,1670.0,跌↓,51.7,跌↓,✓,-0.18%,1.0151
2024-04-17,1667.0,涨↑,59.5,涨↑,✓,+0.23%,1.0174
2024-04-18,1670.78,跌↓,48.1,跌↓,✓,-1.44%,1.0174
2024-04-19,1646.64,涨↑,58.6,涨↑,✓,+1.73%,1.0349
2024-04-22,1675.06,涨↑,53.8,涨↑,✓,+1.03%,1.0456
2024-04-23,1692.28,跌↓,45.7,涨↑,✗,+0.08%,1.0456
2024-04-24,1693.6,跌↓,47.8,跌↓,✓,-0.03%,1.0456
2024-04-25,1693.04,跌↓,41.0,涨↑,✗,+0.97%,1.0456
2024-04-26,1709.43,跌↓,37.4,跌↓,✓,-0.32%,1.0456
2024-04-29,1704.0,跌↓,47.5,涨↑,✗,+0.06%,1.0456
2024-04-30,1705.0,跌↓,45.0,涨↑,✗,+3.24%,1.0456
2024-05-06,1760.2,跌↓,31.6,涨↑,✗,+0.56%,1.0456
2024-05-07,1770.0,跌↓,40.8,跌↓,✓,-0.34%,1.0456
2024-05-08,1763.97,跌↓,33.5,跌↓,✓,-0.45%,1.0456
2024-05-09,1756.0,跌↓,36.9,跌↓,✓,-0.97%,1.0456
2024-05-10,1738.98,跌↓,43.9,跌↓,✓,-1.90%,1.0456
2024-05-13,1706.0,跌↓,44.6,跌↓,✓,-0.24%,1.0456
2024-05-14,1701.98,跌↓,50.9,跌↓,✓,-0.12%,1.0456
2024-05-15,1700.0,跌↓,51.0,涨↑,✗,+0.26%,1.0456
2024-05-16,1704.5,跌↓,46.0,涨↑,✗,+0.62%,1.0456
2024-04-16,1670.0,跌↓,51.3,跌↓,✓,-0.18%,1.0456
2024-04-17,1667.0,涨↑,57.1,涨↑,✓,+0.23%,1.0479
2024-04-18,1670.78,跌↓,45.8,跌↓,✓,-1.44%,1.0479
2024-04-19,1646.64,涨↑,59.2,涨↑,✓,+1.73%,1.066
2024-04-22,1675.06,跌↓,46.9,涨↑,✗,+1.03%,1.066
2024-04-23,1692.28,跌↓,43.3,涨↑,✗,+0.08%,1.066
2024-04-24,1693.6,跌↓,43.1,跌↓,✓,-0.03%,1.066
2024-04-25,1693.04,跌↓,36.8,涨↑,✗,+0.97%,1.066
2024-04-26,1709.43,跌↓,35.6,跌↓,✓,-0.32%,1.066
2024-04-29,1704.0,跌↓,49.5,涨↑,✗,+0.06%,1.066
2024-04-30,1705.0,跌↓,44.7,涨↑,✗,+3.24%,1.066
2024-05-06,1760.2,跌↓,31.4,涨↑,✗,+0.56%,1.066
2024-05-07,1770.0,跌↓,42.8,跌↓,✓,-0.34%,1.066
2024-05-08,1763.97,跌↓,34.8,跌↓,✓,-0.45%,1.066
2024-05-09,1756.0,跌↓,41.2,跌↓,✓,-0.97%,1.066
2024-05-10,1738.98,跌↓,48.1,跌↓,✓,-1.90%,1.066
2024-05-13,1706.0,跌↓,46.6,跌↓,✓,-0.24%,1.066
2024-05-14,1701.98,跌↓,53.6,跌↓,✓,-0.12%,1.066
2024-05-15,1700.0,涨↑,54.8,涨↑,✓,+0.26%,1.0688
2024-05-16,1704.5,跌↓,48.7,涨↑,✗,+0.62%,1.0688
2024-05-17,1715.0,跌↓,48.2,跌↓,✓,-0.35%,1.0688
2024-05-20,1709.0,涨↑,54.0,跌↓,✗,-0.23%,1.0663
2024-05-21,1705.0,跌↓,50.3,跌↓,✓,-0.43%,1.0663
2024-05-22,1697.71,跌↓,51.2,跌↓,✓,-0.34%,1.0663
2024-05-23,1692.01,涨↑,54.3,跌↓,✗,-0.88%,1.0569
2024-05-24,1677.08,涨↑,59.8,跌↓,✗,-0.42%,1.0525
2024-05-27,1670.12,涨↑,63.8,跌↓,✗,-0.33%,1.0491
2024-05-28,1664.64,涨↑,65.8,涨↑,✓,+0.56%,1.055
2024-05-29,1674.0,涨↑,60.5,跌↓,✗,-1.49%,1.0392
2024-05-30,1649.0,涨↑,54.3,跌↓,✗,-0.03%,1.0389
2024-04-30,1705.0,跌↓,47.0,涨↑,✗,+3.24%,1.0389
2024-05-06,1760.2,跌↓,34.0,涨↑,✗,+0.56%,1.0389
2024-05-07,1770.0,跌↓,44.0,跌↓,✓,-0.34%,1.0389
2024-05-08,1763.97,跌↓,36.1,跌↓,✓,-0.45%,1.0389
2024-05-09,1756.0,跌↓,46.3,跌↓,✓,-0.97%,1.0389
2024-05-10,1738.98,跌↓,50.1,跌↓,✓,-1.90%,1.0389
2024-05-13,1706.0,跌↓,48.3,跌↓,✓,-0.24%,1.0389
