代码,名称,数据日期,综合得分,回调深度,收盘价,MA5,MA10,MA20,MA60,RSI6,RSI14,MACD柱,KDJ_K,KDJ_D,KDJ_J,量/MA20量,近10日涨幅%,近20日涨幅%,ATR,BIAS5,详细理由
000021,深科技,2026-04-13,11.0,中回调,28.25,27.58,26.87,28.63,29.89,95.5,48.9,0.0855,68.4,48.0,109.3,0.65,2.8,-8.6,1.27,2.4,小幅涨:近10日+3% | 回调至MA20(28.63):-1.3% | MACD红柱(已启动) | RSI14=49(回升区) | KDJ金叉(K=68) | 乖离正常:BIAS20=-1.3% | 量能健康(0.7xMA20)
000066,中国长城,2026-04-13,10.5,中回调,15.39,14.92,14.77,15.11,16.03,80.0,63.4,0.0661,56.6,40.1,89.5,1.29,2.1,-6.2,0.58,3.2,小幅涨:近10日+2% | 回调至MA20(15.11):+1.8% | MACD红柱(已启动) | RSI14=63(正常区) | KDJ金叉(K=57) | 乖离正常:BIAS20=1.8% | 量能健康(1.3xMA20) | 量开始放大
000617,中油资本,2026-04-13,10.5,中回调,10.08,10.53,10.36,10.32,9.55,52.6,48.9,-0.054,31.0,41.2,10.7,0.56,-5.3,13.5,0.74,-4.3,强势:近20日+14% | 回调至MA20(10.32):-2.3% | MACD绿柱(-0.0540) | RSI14=49(回升区) | KDJ超卖J=11 | 乖离正常:BIAS20=-2.3% | 量能健康(0.6xMA20)
000672,上峰水泥,2026-04-13,10.5,中回调,13.12,13.24,13.08,13.06,13.8,55.0,63.1,0.0896,64.7,61.2,71.7,0.88,3.7,-5.9,0.41,-0.9,小幅涨:近10日+4% | 回调至MA20(13.06):+0.5% | MACD红柱(已启动) | RSI14=63(正常区) | KDJ金叉(K=65) | 乖离正常:BIAS20=0.5% | 量能健康(0.9xMA20) | 量开始放大
000157,中联重科,2026-04-13,10.0,中回调,8.7,8.68,8.62,8.6,9.05,59.8,61.8,0.0465,63.5,58.5,73.5,0.79,2.4,-5.0,0.29,0.3,小幅涨:近10日+2% | 回调至MA20(8.60):+1.2% | MACD红柱(已启动) | RSI14=62(正常区) | KDJ金叉(K=63) | 乖离正常:BIAS20=1.2% | 量能健康(0.8xMA20)
000636,风华高科,2026-04-13,10.0,中回调,20.49,19.71,19.36,20.16,21.09,92.3,57.8,0.0972,66.4,45.6,108.0,0.97,4.5,-5.6,0.83,3.9,小幅涨:近10日+4% | 回调至MA20(20.16):+1.7% | MACD红柱(已启动) | RSI14=58(正常区) | KDJ金叉(K=66) | 乖离正常:BIAS20=1.7% | 量能健康(1.0xMA20)
000623,吉林敖东,2026-04-13,9.5,中回调,18.24,17.97,17.82,17.83,18.89,65.9,69.1,0.122,69.7,64.2,80.5,1.02,4.0,-2.5,0.4,1.5,小幅涨:近10日+4% | 回调至MA20(17.83):+2.3% | MACD红柱(已启动) | KDJ金叉(K=70) | 乖离正常:BIAS20=2.3% | 量能健康(1.0xMA20) | 量开始放大
000686,东北证券,2026-04-13,9.5,中回调,8.33,8.17,8.12,8.18,8.76,67.1,65.8,0.0545,65.2,55.2,85.2,1.2,3.5,-3.3,0.18,1.9,小幅涨:近10日+3% | 回调至MA20(8.18):+1.9% | MACD红柱(已启动) | KDJ金叉(K=65) | 乖离正常:BIAS20=1.9% | 量能健康(1.2xMA20) | 量开始放大
000060,中金岭南,2026-04-13,9.0,中回调,6.35,6.29,6.21,6.25,6.97,66.7,66.5,0.0532,71.9,64.3,87.2,0.63,3.4,-11.6,0.21,1.0,小幅涨:近10日+3% | 回调至MA20(6.25):+1.6% | MACD红柱(已启动) | RSI6金叉RSI14 | 乖离正常:BIAS20=1.6% | 量能健康(0.6xMA20)
000570,苏常柴Ａ,2026-04-13,9.0,中回调,5.74,5.65,5.62,5.64,5.83,60.0,66.3,0.0221,60.1,52.8,74.7,0.58,2.5,-5.9,0.21,1.7,小幅涨:近10日+3% | 回调至MA20(5.64):+1.8% | MACD红柱(已启动) | KDJ金叉(K=60) | 乖离正常:BIAS20=1.8% | 量能健康(0.6xMA20)
