排名,代码,名称,回调深度,收盘价,综合得分,技术得分,ROE得分,增长得分,EPS得分,综合排名分,ROE(%),净利润增长(%),每股收益,近10日涨幅%,详细理由
86,1319,铭科精技,中回调,25.08,10.5,33.6,2.0,2.6,2.2,21.04,1.63,13.23,0.147,2.9,小幅涨:近10日+3% | 回调至MA20(24.83):+1.0% | MACD红柱(已启动) | RSI14=62(正常区) | KDJ金叉(K=58) | 乖离正常:BIAS20=1.0% | 量能健康(1.2xMA20) | 量开始放大
87,601198,东兴证券,中回调,12.86,10.0,32.0,1.6,13.0,1.7,20.99,1.31,64.94,0.112,2.3,小幅涨:近10日+2% | 回调至MA20(12.74):+1.0% | MACD红柱(已启动) | RSI14=60(正常区) | KDJ金叉(K=63) | 乖离正常:BIAS20=1.0% | 量能健康(0.8xMA20)
88,601633,长城汽车,中回调,21.36,9.0,28.8,5.6,20.0,5.7,20.97,4.5,1737.35,0.378,2.3,小幅涨:近10日+2% | 回调至MA20(20.90):+2.2% | MACD红柱(已启动) | RSI14=58(正常区) | 乖离正常:BIAS20=2.2% | 量能健康(1.0xMA20) | 量开始放大
89,617,中油资本,中回调,10.08,10.5,33.6,2.1,0.0,4.3,20.91,1.7,-3.74,0.29,-5.3,强势:近20日+14% | 回调至MA20(10.32):-2.3% | MACD绿柱(-0.0540) | RSI14=49(回升区) | KDJ超卖J=11 | 乖离正常:BIAS20=-2.3% | 量能健康(0.6xMA20)
90,2986,宇新股份,中回调,15.26,10.5,33.6,2.4,0.0,2.8,20.89,1.9,-29.45,0.188,3.5,小幅涨:近10日+3% | 回调至MA20(15.10):+1.1% | MACD绿柱收窄(-0.0059) | RSI14=60(正常区) | KDJ金叉(K=65) | 乖离正常:BIAS20=1.1% | 量能健康(1.5xMA20) | 量开始放大
91,603949,雪龙集团,中回调,19.52,10.5,33.6,2.3,0.4,1.3,20.83,1.81,2.08,0.09,10.8,上涨:近10日+11% | 回调至MA20(19.43):+0.5% | MACD红柱(已启动) | RSI14=50(回升区) | 乖离正常:BIAS20=0.5% | 量能健康(0.9xMA20) | 量开始放大
92,688059,华锐精密,布林撑,119.95,10.5,33.6,1.7,0.0,4.2,20.79,1.34,-28.69,0.278,8.1,上涨:近10日+8% | 布林下轨(104.28)获撑 | MACD红柱(已启动) | RSI14=64(正常区) | RSI6金叉RSI14 | KDJ金叉(K=66) | 量能健康(0.7xMA20)
93,300927,江天化学,中回调,30.3,10.5,33.6,2.2,0.0,1.3,20.78,1.78,-45.46,0.086,8.3,上涨:近10日+8% | 回调至MA20(29.61):+2.3% | MACD红柱(已启动) | RSI14=59(正常区) | KDJ金叉(K=69) | 乖离正常:BIAS20=2.3% | 量能健康(0.6xMA20)
94,2637,赞宇科技,中回调,12.19,9.5,30.4,1.7,20.0,1.5,20.75,1.4,186.21,0.102,5.9,小幅涨:近10日+6% | 回调至MA20(12.18):+0.1% | MACD红柱(已启动) | RSI14=53(回升区) | 乖离正常:BIAS20=0.1% | 量能健康(0.6xMA20)
95,600396,华电辽能,布林撑,7.3,7.5,24.0,25.0,0.0,1.3,20.72,25.48,,0.09,-18.8,强势:近20日+88% | 布林下轨(4.47)获撑 | RSI14=53(回升区) | KDJ超卖J=12 | 量能健康(1.0xMA20)
96,1278,一彬科技,中回调,21.69,10.5,33.6,1.8,0.0,2.2,20.72,1.44,-0.51,0.145,3.7,小幅涨:近10日+4% | 回调至MA20(21.48):+1.0% | MACD红柱(已启动) | RSI6金叉RSI14 | KDJ金叉(K=69) | 乖离正常:BIAS20=1.0% | 量能健康(0.5xMA20)
97,603855,华荣股份,中回调,19.49,10.0,32.0,5.2,0.0,3.8,20.69,4.18,-2.81,0.25,2.7,小幅涨:近10日+3% | 回调至MA20(19.43):+0.3% | MACD红柱(已启动) | RSI14=63(正常区) | KDJ金叉(K=60) | 乖离正常:BIAS20=0.3% | 量能健康(0.9xMA20)
98,688356,键凯科技,中回调,98.07,10.5,33.6,1.4,0.0,3.6,20.69,1.12,-69.3,0.238,4.9,小幅涨:近10日+5% | 回调至MA20(96.09):+2.1% | MACD红柱(已启动) | RSI14=63(正常区) | KDJ金叉(K=69) | 乖离正常:BIAS20=2.1% | 量能健康(1.2xMA20) | 量开始放大
99,300170,汉得信息,中回调,20.4,10.0,32.0,1.3,11.2,0.8,20.68,1.03,56.07,0.05,4.9,小幅涨:近10日+5% | 回调至MA20(20.26):+0.7% | MACD红柱(已启动) | RSI14=55(正常区) | KDJ金叉(K=69) | 乖离正常:BIAS20=0.7% | 量能健康(0.7xMA20)
100,603663,三祥新材,中回调,42.59,10.5,33.6,1.9,0.0,0.8,20.67,1.51,-40.82,0.053,3.2,小幅涨:近10日+3% | 回调至MA20(42.45):+0.3% | MACD红柱(已启动) | RSI14=59(正常区) | KDJ金叉(K=66) | 乖离正常:BIAS20=0.3% | 量能健康(0.9xMA20) | 量开始放大
