排名,代码,名称,回调深度,收盘价,综合得分,技术得分,ROE得分,增长得分,EPS得分,综合排名分,ROE(%),净利润增长(%),每股收益,近10日涨幅%,详细理由
19,2380,科远智慧,中回调,33.74,10.5,33.6,2.7,20.0,2.6,22.96,2.13,328.52,0.175,5.1,小幅涨:近10日+5% | 回调至MA20(32.90):+2.6% | MACD红柱(已启动) | RSI14=61(正常区) | KDJ金叉(K=67) | 乖离正常:BIAS20=2.6% | 量能健康(1.5xMA20) | 量开始放大
20,688513,苑东生物,轻回调,67.6,11.0,35.2,3.6,4.6,9.4,22.94,2.86,23.0,0.625,1.8,强势:近20日+18% | 回调至MA10下:-6.1% | MACD红柱(已启动) | RSI14=64(正常区) | KDJ超卖J=9 | 乖离正常:BIAS20=1.7% | 量能健康(1.1xMA20)
21,601975,招商南油,轻回调,4.63,10.0,32.0,8.8,13.0,2.1,22.8,7.04,64.89,0.141,4.0,小幅涨:近10日+4% | 回调至MA10下:-3.3% | MACD绿柱收窄(-0.0167) | RSI14=55(回升区) | 乖离正常:BIAS20=-2.1% | 量能健康(0.8xMA20)
22,300468,四方精创,中回调,32.86,11.5,36.8,1.3,2.5,0.5,22.67,1.01,12.31,0.031,2.3,小幅涨:近10日+2% | 回调至MA20(32.68):+0.6% | MACD红柱(已启动) | RSI14=46(回升区) | KDJ金叉(K=53) | 乖离正常:BIAS20=0.6% | 量能健康(1.3xMA20) | 量开始放大
23,688028,沃尔德,中回调,94.32,10.5,33.6,1.5,20.0,2.3,22.66,1.22,134.56,0.153,6.3,上涨:近10日+6% | 回调至MA20(92.11):+2.4% | MACD红柱(已启动) | RSI14=62(正常区) | KDJ金叉(K=66) | 乖离正常:BIAS20=2.4% | 量能健康(1.2xMA20)
24,917,电广传媒,中回调,9.74,11.5,36.8,0.3,4.5,0.6,22.65,0.27,22.64,0.04,4.4,小幅涨:近10日+4% | 回调至MA20(9.56):+1.9% | MACD红柱(已启动) | RSI14=61(正常区) | RSI6金叉RSI14 | KDJ金叉(K=63) | 乖离正常:BIAS20=1.9% | 量能健康(0.8xMA20)
25,300816,艾可蓝,中回调,66.59,10.5,33.6,2.1,18.0,2.9,22.64,1.7,89.97,0.196,7.1,上涨:近10日+7% | 回调至MA20(67.09):-0.8% | MACD红柱(已启动) | RSI14=54(回升区) | 乖离正常:BIAS20=-0.8% | 量能健康(1.6xMA20) | 量开始放大
26,2879,长缆科技,中回调,20.75,10.5,33.6,1.2,20.0,1.3,22.52,0.96,220.9,0.084,2.7,小幅涨:近10日+3% | 回调至MA20(20.67):+0.4% | MACD红柱(已启动) | RSI14=61(正常区) | KDJ金叉(K=44) | 乖离正常:BIAS20=0.4% | 量能健康(1.0xMA20) | 量开始放大
27,300228,富瑞特装,中回调,9.43,10.5,33.6,1.3,20.0,0.7,22.51,1.02,410.66,0.045,2.4,小幅涨:近10日+2% | 回调至MA20(9.44):-0.1% | MACD红柱(已启动) | RSI14=59(正常区) | KDJ金叉(K=67) | 乖离正常:BIAS20=-0.1% | 量能健康(1.1xMA20) | 量开始放大
28,2772,众兴菌业,中回调,16.62,11.5,36.8,1.2,0.0,1.3,22.46,1.0,-82.72,0.087,5.7,小幅涨:近10日+6% | 回调至MA20(17.09):-2.8% | MACD红柱(已启动) | RSI14=44(回升区) | KDJ金叉(K=62) | 乖离正常:BIAS20=-2.8% | 量能健康(0.9xMA20) | 量开始放大
