代码,ROE,净利增长,毛利率,EPS
603655,0.94,96.9727,,0.0483
605007,5.23,,,0.3342
605598,1.68,4.2477,,0.121
688055,-1.33,,,
688261,0.15,-93.9628,,0.0455
688012,1.39,-9.5089,,0.4018
688023,-8.27,,,
688015,0.5,115.3539,,0.1076
688377,1.59,-7.3728,,0.145
688391,0.94,-44.3919,,0.2299
688387,-2.48,-780.6755,,
688280,-13.39,,,
688352,1.3,150.5078,,0.0645
688456,0.83,-10.9544,,0.0957
688549,0.25,,,0.0059
688432,1.35,-26.0834,,0.0511
688585,1.51,2.6728,,0.0452
688562,-1.19,,,
000623,0.5,-72.9531,,0.1069
688711,-0.15,-110.0557,,
688697,4.15,-3.0327,,0.2129
000686,0.11,-88.5073,,0.0191
688098,-0.15,-119.6966,,
000895,5.75,-14.5359,,0.3714
000987,1.6,-58.1488,,0.0813
000936,0.78,81.0633,,0.0453
002111,1.58,61.1153,,0.0915
002144,0.89,3.048,,0.1021
001216,2.8,9.5772,,0.1805
002472,2.74,31.1011,,0.27
300485,-5.87,-47421.38,,
002531,1.64,-25.3923,,0.0828
002492,1.44,-6.1118,,0.0601
300486,-0.46,-134.0895,,
300328,0.08,,,0.0013
002637,1.4,186.2114,,0.1015
300559,0.54,82.3027,,0.0126
000913,3.05,93.1774,,0.2656
300504,0.81,-70.2615,,0.0674
300699,2.89,-8.9189,,0.1793
300594,-2.41,,,
600331,-1.73,-160.3277,,
002465,0.33,24.3073,,0.0213
600237,1.39,14.9326,,0.0385
300972,0.72,50.4018,,0.4007
300871,-1.09,-210.433,,
300571,0.17,-76.4676,,0.026
600710,3.74,4.9164,,0.5149
600770,-1.32,,,
600522,1.88,-20.3868,,0.1853
600827,1.07,-12.2125,,0.1645
600673,1.0,45.07,,0.0304
600855,-2.39,,,
600987,2.03,6.2521,,0.1394
603790,2.09,42.6244,,0.1279
688200,0.7,-68.6196,,0.1731
605080,2.03,-38.5062,,0.2893
603211,1.66,12.8728,,0.0696
605268,0.98,5.192,,0.0355
601999,-0.3,,,
688626,1.88,0.3466,,0.242
000060,1.81,-15.0805,,0.0852
000633,0.74,11.1295,,0.0035
688619,-1.98,,,
000570,0.94,31.8236,,0.0482
000720,-0.46,,,
000758,5.4,126.8711,,0.1582
002034,2.76,8.3173,,0.4031
000728,1.31,-10.9539,,0.1061
001314,-0.4,-133.1377,,
001339,0.66,-57.1944,,0.0616
000786,3.39,40.3221,,0.4908
002170,2.13,-26.4726,,0.0595
002183,0.23,-86.181,,0.0013
000901,0.18,116.8758,,0.0118
000782,-0.41,,,
002130,3.64,75.9983,,0.1572
002082,1.07,5.6651,,0.0405
002182,1.14,9.0004,,0.0869
002331,-0.51,,,
002578,0.56,-12.5236,,0.0091
002778,-0.57,-63.1989,,0.0177
002553,-1.25,,,
002521,1.35,,,0.1042
002796,-1.01,,,
002859,1.78,69.1872,,0.1232
002792,0.17,-85.716,,0.0122
002935,-0.59,,,
002634,-2.66,-1282.1421,,
002736,1.09,-30.5064,,0.1278
300479,-8.23,,,
002982,-1.18,,,
300033,1.66,-15.0433,,0.1932
300066,0.02,-173.9655,,0.0005
300103,-0.74,,,
300349,2.26,22.4414,,0.2439
300263,1.71,-30.8234,,0.0652
300151,1.5,-26.9935,,0.0401
300192,4.4,14.3732,,0.121
300302,0.22,-68.9596,,0.006
300572,0.01,-118.5928,,0.0007
300593,-1.3,-141.7635,,
300204,-0.37,,,
300573,2.0,79.5874,,0.2789
300415,4.36,25.4799,,0.2521
300597,0.3,-38.2019,,0.0115
300685,3.62,12.0065,,0.1611
300627,3.28,27.808,,0.1844
300645,-0.97,,,
300693,4.27,4.9898,,0.2125
300726,1.62,-45.0394,,0.2104
300804,1.36,-18.8452,,0.2384
300906,1.6,27.199,,0.1762
300967,-1.36,,,
300901,-0.23,-153.5813,,
300798,0.4,44.9771,,0.0148
600031,2.27,3.9551,,0.1913
600339,0.92,16.3491,,0.0436
600346,3.45,110.8018,,0.3046
600776,3.8,955.645,,0.1073
600590,0.12,-81.0802,,0.0184
600343,-1.41,,,
600362,2.38,2.0384,,0.52
600841,-5.43,,,
600999,1.74,-4.5309,,0.2482
601633,4.5,1737.3525,,0.3777
603158,2.63,48.1763,,0.1344
603111,1.16,31.8502,,0.0506
601609,1.3,23.1938,,0.0735
600739,0.3,-79.1599,,0.0417
600493,0.16,,,0.0064
603045,0.73,-3.6432,,0.0509
603231,1.93,47.7686,,0.1946
603226,-1.23,,,
603197,2.23,-28.3604,,0.3216
603220,2.34,107.1942,,0.1427
601872,3.59,23.6793,,0.1717
603281,3.13,-0.0629,,0.4133
603282,3.4,3.896,,0.3178
603390,0.74,30.1663,,0.0321
603500,1.88,5.0586,,0.0833
688035,0.61,-43.2393,,0.0942
605218,0.87,1.8478,,0.0525
603601,1.45,-4.8121,,0.0333
603660,-17.13,,,
603895,1.23,62.6092,,0.114
688409,1.32,31.6004,,0.2431
688139,3.17,1.679,,0.4461
688699,0.09,,,0.0105
688418,0.84,143.1711,,0.0188
688310,1.16,-38.464,,0.0814
688682,0.26,-63.7869,,0.0322
688719,0.29,-63.005,,0.0622
688669,-0.62,-133.1153,,
688173,-2.81,-191.0935,,
001218,1.49,-15.9308,,0.2468
000890,-86.2,,,
688733,-0.81,-241.3485,,
000878,3.18,4.2527,,0.3327
000559,3.05,6.8322,,0.0851
001223,1.68,9.5387,,0.4839
001287,1.0,-27.9852,,0.0674
000506,-4.56,,,
001298,0.3,9.4805,,0.0333
002128,5.89,24.8457,,0.9687
001389,5.52,134.4421,,0.3818
002119,1.43,-2.7372,,0.0501
002042,0.22,-69.4224,,0.0097
002248,8.06,14.9533,,0.0175
002237,1.5,16.4947,,0.1193
002152,2.0,2.1773,,0.1045
002408,0.27,,,0.0096
002167,-2.37,-590.2916,,
002349,2.82,-17.2234,,0.1007
002160,-0.75,-4447.0446,,
002266,2.81,-36.8945,,0.0597
002234,-1.55,-164.9927,,
002797,0.95,-11.4627,,0.0365
002858,2.01,-3.7808,,0.1544
002907,2.43,34.0549,,0.0966
002877,1.2,3.6081,,0.0401
002845,0.28,,,0.0212
002949,0.2,114.7975,,0.0129
300016,0.69,14.1117,,0.0236
002945,0.87,-12.8273,,0.0203
300057,-0.32,,,
300149,-1.77,,,
300142,0.15,-80.6801,,0.0238
002370,-0.52,,,
300176,1.07,,,0.0253
300364,-5.8,,,
300424,1.78,,,0.0685
300310,0.19,,,0.0006
300606,0.81,1062.1163,,0.0429
300578,1.36,,,0.0776
300348,-0.24,,,
300385,-3.32,-284.6217,,
300346,3.54,10.1668,,0.1919
002413,-0.83,-278.1313,,
300502,5.6,200.9608,,0.4572
300517,1.24,100.6518,,0.0666
300657,2.16,,,0.1633
300432,0.98,,,0.0317
300664,2.26,36.6512,,0.1168
300743,3.74,110.1739,,0.1486
300881,5.17,160.0801,,0.4756
300766,-0.23,-201.6801,,
300787,0.5,16.5942,,0.0347
300964,0.72,-1.9274,,0.0931
600056,1.24,-36.7149,,0.1356
300866,3.72,5.4145,,0.802
300932,0.41,24.083,,0.0369
600150,0.83,855.9545,,0.0906
300996,0.27,,,0.0019
600060,2.44,-17.0458,,0.4403
600158,0.76,,,0.0786
600235,2.19,861.4451,,0.0923
600356,0.88,-5.098,,0.0816
600359,7.39,7.9368,,0.1371
600378,1.58,-39.7633,,0.1504
600299,1.83,19210.7557,,0.1032
600589,0.66,,,0.0029
300985,1.72,,,0.1604
600594,-2.28,-272.0436,,
600547,2.07,109.4095,,0.236
600602,1.29,48.2342,,0.0428
600936,-12.83,,,
600720,0.73,13683.6161,,0.0473
600195,1.37,-44.4989,,0.0725
601899,5.37,11.2259,,0.2905
601988,2.11,-2.8384,,0.2037
603077,0.16,-92.8844,,0.0031
603078,1.53,4.0667,,0.0537
603320,1.71,155.5178,,0.11
603006,0.94,-56.4773,,0.0493
603262,4.99,,,0.11
603351,2.14,30.741,,0.2475
603608,-0.39,,,
603618,0.86,11.6914,,0.0386
600893,0.39,72.8357,,0.0697
603650,4.17,84.8285,,0.2462
603667,1.29,-7.2286,,0.1032
603881,1.12,1.8737,,0.0776
603920,2.09,52.1285,,0.1911
603726,3.13,168.1679,,0.2054
603206,1.15,-24.0838,,0.0821
605299,1.02,-7.9584,,0.0323
688071,-0.95,-176.5215,,
603005,1.19,64.4225,,0.0768
605488,2.26,118.1688,,0.159
688080,1.75,81.9224,,0.2218
688120,3.52,4.2711,,1.2719
688138,3.53,155.221,,0.1859
603985,-0.38,-144.5705,,
688270,-0.27,-178.4119,,
688195,1.25,57.8526,,0.0798
688176,-3.6,,,
688158,-2.41,,,
688786,2.34,0.5671,,0.1927
688300,3.69,79.9381,,0.2782
688589,2.26,9.503,,0.2322
688361,1.4,9.1595,,0.107
688799,3.37,17.7888,,0.5611
688347,0.51,-118.997,,0.13
000678,-1.65,,,
000829,0.53,-72.2711,,0.0172
000876,-8.6,,,
001215,1.89,15.2327,,0.3469
000811,2.2,27.4738,,0.1676
002638,-0.22,-104.3469,,
002057,1.63,-6.8054,,0.0807
001219,2.86,6.6048,,0.1911
002232,-1.33,-258.7582,,
002100,0.84,,,0.0441
002557,4.22,35.2284,,0.4747
002379,-1.07,,,
001267,0.2,-39.9413,,0.004
002484,2.44,-10.289,,0.1632
002843,2.26,-28.7998,,0.1058
002443,1.44,-20.6138,,0.1089
002992,-1.23,,,
002886,0.31,-6.356,,0.0286
300285,2.07,11.016,,0.1459
300342,0.25,-77.5942,,0.0093
300446,3.55,12258.8424,,0.2275
300580,2.36,29.0854,,0.2045
300246,0.28,-84.3489,,0.0167
300545,2.67,10.5938,,0.2558
300696,-0.32,-110.7164,,
300691,-0.09,-112.8301,,
300661,1.38,84.1909,,0.1094
300738,1.58,11.8549,,0.0513
300780,-1.77,-379.1559,,
002863,0.95,2.7169,,0.0431
300776,4.28,44.4845,,0.4946
300442,5.27,44.0013,,0.2762
300854,-0.58,-1539.5122,,
300826,0.44,-52.4478,,0.0321
300931,0.16,,,0.0035
600030,1.77,-8.314,,0.3483
600099,0.39,-17.1276,,0.0091
600382,1.1,-55.8496,,0.0446
600487,1.96,37.8866,,0.2199
600444,1.44,2.4893,,0.068
600288,-1.17,-422.5336,,
600497,3.0,-17.1405,,0.0947
600601,1.96,,,0.0184
600901,3.76,4.6842,,0.1634
600726,10.61,39.1602,,0.0892
600955,0.22,-26.8261,,0.0347
601002,-0.5,-203.7975,,
601231,1.94,19.0325,,0.1494
600975,-9.29,,,
603031,3.6,14.6871,,2.0013
601956,1.9,21.5533,,0.0776
601598,2.08,-16.1191,,0.1155
601996,-0.01,,,
601798,-0.54,,,
603177,3.86,2466.1088,,0.0712
603058,3.66,43.5611,,0.1032
603129,5.23,33.9723,,1.9342
603089,1.32,,,0.091
603400,,,,0.5023
603590,1.32,56.8593,,0.2928
603687,0.55,-19.2839,,0.0391
603598,3.92,-7.2009,,0.03
603708,5.61,10.4628,,0.2394
603716,0.26,,,0.0712
603776,-0.16,-162.1707,,
605089,1.49,-46.9373,,0.137
605098,2.44,48.4583,,0.2109
603959,-18.43,-235.5157,,
603997,0.46,-79.5736,,0.0114
688125,0.21,-87.4771,,0.0447
603727,1.05,,,0.12
688029,3.86,42.6115,,0.785
688178,0.68,203.7979,,0.0732
688230,1.09,53.6724,,0.2081
688203,0.46,66.2879,,0.0341
688226,3.29,156.1745,,0.244
688257,2.02,4.9215,,0.3845
688345,-1.83,,,
688322,-0.97,,,
688419,1.88,39.7516,,0.2269
688629,0.68,-21.2599,,0.019
000153,2.42,1.5789,,0.1396
688351,0.25,,,0.0089
688655,-0.18,-120.1526,,
000420,0.48,73.739,,0.0085
000301,0.69,-65.8081,,0.0369
000409,3.24,39.5633,,0.0719
000419,1.16,24.3693,,0.0846
000603,-0.28,-326.8671,,
000592,-0.04,,,
000650,2.89,-4.3307,,0.1499
000703,1.62,216.0316,,0.144
000519,-0.13,,,
000973,0.64,-3.1705,,0.0253
001230,1.79,8.7068,,0.3232
000957,1.53,105.084,,0.0715
001296,1.63,51.5462,,0.2609
