代码,名称,数据日期,综合得分,回调深度,收盘价,MA5,MA10,MA20,MA60,RSI6,RSI14,MACD柱,KDJ_K,KDJ_D,KDJ_J,量/MA20量,近10日涨幅%,近20日涨幅%,ATR,BIAS5,详细理由
000021,深科技,2026-04-13,11.0,中回调,28.25,27.58,26.87,28.63,29.89,95.5,48.9,0.0855,68.4,48.0,109.3,0.65,2.8,-8.6,1.27,2.4,小幅涨:近10日+3% | 回调至MA20(28.63):-1.3% | MACD红柱(已启动) | RSI14=49(回升区) | KDJ金叉(K=68) | 乖离正常:BIAS20=-1.3% | 量能健康(0.7xMA20)
000066,中国长城,2026-04-13,10.5,中回调,15.39,14.92,14.77,15.11,16.03,80.0,63.4,0.0661,56.6,40.1,89.5,1.29,2.1,-6.2,0.58,3.2,小幅涨:近10日+2% | 回调至MA20(15.11):+1.8% | MACD红柱(已启动) | RSI14=63(正常区) | KDJ金叉(K=57) | 乖离正常:BIAS20=1.8% | 量能健康(1.3xMA20) | 量开始放大
000157,中联重科,2026-04-13,10.0,中回调,8.7,8.68,8.62,8.6,9.05,59.8,61.8,0.0465,63.5,58.5,73.5,0.79,2.4,-5.0,0.29,0.3,小幅涨:近10日+2% | 回调至MA20(8.60):+1.2% | MACD红柱(已启动) | RSI14=62(正常区) | KDJ金叉(K=63) | 乖离正常:BIAS20=1.2% | 量能健康(0.8xMA20)
000060,中金岭南,2026-04-13,9.0,中回调,6.35,6.29,6.21,6.25,6.97,66.7,66.5,0.0532,71.9,64.3,87.2,0.63,3.4,-11.6,0.21,1.0,小幅涨:近10日+3% | 回调至MA20(6.25):+1.6% | MACD红柱(已启动) | RSI6金叉RSI14 | 乖离正常:BIAS20=1.6% | 量能健康(0.6xMA20)
000506,招金黄金,2026-04-13,8.5,中回调,17.39,18.15,17.58,17.11,18.85,55.2,60.3,0.2352,57.1,64.9,41.4,1.0,5.8,-4.1,1.04,-4.2,小幅涨:近10日+6% | 回调至MA20(17.11):+1.6% | MACD红柱(已启动) | RSI14=60(正常区) | 乖离正常:BIAS20=1.6% | 量能健康(1.0xMA20)
000153,丰原药业,2026-04-13,7.5,中回调,6.56,6.68,6.66,6.51,6.57,40.7,67.0,0.0202,50.6,65.5,20.9,1.0,2.0,-1.6,0.23,-1.9,小幅涨:近10日+2% | 回调至MA20(6.51):+0.8% | MACD红柱(已启动) | 乖离正常:BIAS20=0.8% | 量能健康(1.0xMA20)
000301,东方盛虹,2026-04-13,7.5,中回调,11.16,11.37,11.14,10.98,11.85,54.1,65.8,0.109,72.8,74.8,68.7,0.86,3.7,-3.5,0.41,-1.8,小幅涨:近10日+4% | 回调至MA20(10.98):+1.6% | MACD红柱(已启动) | 乖离正常:BIAS20=1.6% | 量能健康(0.9xMA20)
000409,云鼎科技,2026-04-13,7.5,中回调,10.66,10.53,10.39,10.4,11.29,72.2,70.3,0.0946,79.6,69.5,99.7,0.67,4.5,-2.4,0.28,1.2,小幅涨:近10日+5% | 回调至MA20(10.40):+2.5% | MACD红柱(已启动) | 乖离正常:BIAS20=2.5% | 量能健康(0.7xMA20)
000420,吉林化纤,2026-04-13,7.5,布林撑,5.06,4.93,4.81,4.82,4.7,70.2,68.3,0.0291,70.7,63.5,85.1,0.61,4.8,5.0,0.24,2.7,小幅涨:近10日+5% | 布林下轨(4.31)获撑 | MACD红柱(已启动) | RSI6金叉RSI14 | 量能健康(0.6xMA20)
000419,通程控股,2026-04-13,7.5,深回调,6.15,5.93,5.89,5.9,6.27,62.7,70.2,0.0414,67.7,57.0,89.0,1.68,5.9,-1.1,0.2,3.7,小幅涨:近10日+6% | 回调至MA60(6.27) | MACD红柱(已启动) | KDJ金叉(K=68) | 量能健康(1.7xMA20) | 量开始放大
