代码,名称,数据日期,综合得分,回调深度,收盘价,MA5,MA10,MA20,MA60,RSI6,RSI14,MACD柱,KDJ_K,KDJ_D,KDJ_J,量/MA20量,近10日涨幅%,近20日涨幅%,ATR,BIAS5,详细理由
002134,天津普林,2026-04-13,6.0,深回调,21.4,20.92,20.55,20.6,22.98,75.6,66.2,0.2452,78.8,62.2,112.1,0.94,6.0,0.6,0.77,2.3,小幅涨:近10日+6% | 回调至MA60(22.98) | MACD红柱(已启动) | 量能健康(0.9xMA20) | 量开始放大
002156,通富微电,2026-04-13,6.0,深回调,45.65,44.29,42.89,43.55,47.06,93.7,66.2,0.5249,70.7,54.3,103.4,1.01,7.5,-0.5,1.73,3.1,上涨:近10日+8% | 回调至MA60(47.06) | MACD红柱(已启动) | 量能健康(1.0xMA20)
002158,汉钟精机,2026-04-13,6.0,深回调,24.26,23.5,22.81,23.01,24.89,87.5,65.5,0.3061,71.4,56.2,101.7,0.9,6.4,-0.3,0.75,3.3,上涨:近10日+6% | 回调至MA60(24.89) | MACD红柱(已启动) | 量能健康(0.9xMA20)
002179,中航光电,2026-04-13,6.0,深回调,36.74,36.25,34.94,34.45,35.4,92.4,76.8,0.4211,81.3,72.7,98.4,1.07,10.6,3.3,1.05,1.4,上涨:近10日+11% | 回调至MA60(35.40) | MACD红柱(已启动) | 量能健康(1.1xMA20)
002201,九鼎新材,2026-04-13,6.0,深回调,12.2,11.49,11.49,11.3,12.57,63.5,73.6,0.1343,64.6,54.5,84.8,2.9,9.2,3.9,0.53,6.2,"上涨:近10日+9% | 回调至MA60(12.57) | MACD红柱(已启动) | KDJ金叉(K=65) | 量开始放大 | 偏离MA5过大,追高风险"
002236,大华股份,2026-04-13,6.0,深回调,17.7,17.33,17.08,17.14,18.53,84.6,74.5,0.1516,83.6,69.6,111.5,1.26,5.5,-2.0,0.37,2.1,小幅涨:近10日+6% | 回调至MA60(18.53) | MACD红柱(已启动) | 量能健康(1.3xMA20) | 量开始放大
002250,联化科技,2026-04-13,6.0,深回调,16.66,16.32,16.25,15.79,16.91,70.4,78.7,0.1435,70.5,66.2,79.1,0.88,4.7,1.0,0.63,2.1,小幅涨:近10日+5% | 回调至MA60(16.91) | MACD红柱(已启动) | 量能健康(0.9xMA20) | 量开始放大
002271,东方雨虹,2026-04-13,6.0,深回调,16.1,15.76,15.57,15.38,16.32,62.1,74.6,0.1302,76.2,73.3,81.9,1.25,5.0,-1.1,0.67,2.2,小幅涨:近10日+5% | 回调至MA60(16.32) | MACD红柱(已启动) | 量能健康(1.3xMA20) | 量开始放大
002299,圣农发展,2026-04-13,6.0,深回调,18.75,18.3,18.13,17.85,17.82,62.5,77.8,0.0969,74.8,72.1,80.3,1.84,5.2,1.3,0.52,2.5,小幅涨:近10日+5% | 回调至MA60(17.82) | MACD红柱(已启动) | 量能健康(1.8xMA20) | 量开始放大
002338,奥普光电,2026-04-13,6.0,深回调,51.47,50.6,49.01,49.07,53.71,89.0,68.3,0.7017,74.8,60.6,103.2,0.93,7.3,0.9,1.65,1.7,上涨:近10日+7% | 回调至MA60(53.71) | MACD红柱(已启动) | 量能健康(0.9xMA20)
