date,close,predict,prob_up,real,correct,ret,equity
2024-03-29,1702.9,跌↓,47.6,涨↑,✗,+1.08%,1.0
2024-04-01,1721.33,跌↓,32.6,跌↓,✓,-0.43%,1.0
2024-04-02,1713.99,跌↓,35.9,涨↑,✗,+0.07%,1.0
2024-04-03,1715.11,跌↓,46.3,跌↓,✓,-2.82%,1.0
2024-04-08,1666.66,涨↑,50.3,跌↓,✗,-0.27%,0.9973
2024-04-09,1662.22,涨↑,59.9,跌↓,✗,-0.86%,0.9888
2024-04-10,1647.98,跌↓,49.9,涨↑,✗,+0.00%,0.9888
2024-04-11,1648.0,跌↓,46.7,跌↓,✓,-0.85%,0.9888
2024-04-12,1634.03,涨↑,54.4,涨↑,✓,+2.38%,1.0124
2024-04-15,1672.98,跌↓,47.8,跌↓,✓,-0.18%,1.0124
2024-04-16,1670.0,涨↑,51.8,跌↓,✗,-0.18%,1.0105
2024-04-17,1667.0,涨↑,57.7,涨↑,✓,+0.23%,1.0128
2024-04-18,1670.78,跌↓,49.4,跌↓,✓,-1.44%,1.0128
2024-04-19,1646.64,涨↑,55.6,涨↑,✓,+1.73%,1.0303
2024-04-22,1675.06,涨↑,54.1,涨↑,✓,+1.03%,1.0409
2024-04-23,1692.28,跌↓,49.2,涨↑,✗,+0.08%,1.0409
2024-04-24,1693.6,跌↓,46.7,跌↓,✓,-0.03%,1.0409
2024-04-25,1693.04,跌↓,42.4,涨↑,✗,+0.97%,1.0409
2024-04-26,1709.43,跌↓,39.2,跌↓,✓,-0.32%,1.0409
2024-04-29,1704.0,跌↓,43.8,涨↑,✗,+0.06%,1.0409
2024-04-30,1705.0,跌↓,39.9,涨↑,✗,+3.24%,1.0409
2024-05-06,1760.2,跌↓,26.5,涨↑,✗,+0.56%,1.0409
2024-05-07,1770.0,跌↓,39.6,跌↓,✓,-0.34%,1.0409
2024-05-08,1763.97,跌↓,35.4,跌↓,✓,-0.45%,1.0409
2024-05-09,1756.0,跌↓,31.5,跌↓,✓,-0.97%,1.0409
2024-05-10,1738.98,跌↓,43.2,跌↓,✓,-1.90%,1.0409
2024-05-13,1706.0,跌↓,44.2,跌↓,✓,-0.24%,1.0409
2024-05-14,1701.98,涨↑,53.1,跌↓,✗,-0.12%,1.0397
2024-05-15,1700.0,涨↑,61.6,涨↑,✓,+0.26%,1.0424
2024-05-16,1704.5,涨↑,54.6,涨↑,✓,+0.62%,1.0489
2024-04-16,1670.0,涨↑,52.4,跌↓,✗,-0.18%,1.047
2024-04-17,1667.0,涨↑,53.2,涨↑,✓,+0.23%,1.0494
2024-04-18,1670.78,跌↓,48.8,跌↓,✓,-1.44%,1.0494
2024-04-19,1646.64,涨↑,54.1,涨↑,✓,+1.73%,1.0675
2024-04-22,1675.06,跌↓,45.2,涨↑,✗,+1.03%,1.0675
2024-04-23,1692.28,跌↓,40.4,涨↑,✗,+0.08%,1.0675
2024-04-24,1693.6,跌↓,41.9,跌↓,✓,-0.03%,1.0675
2024-04-25,1693.04,跌↓,36.4,涨↑,✗,+0.97%,1.0675
2024-04-26,1709.43,跌↓,33.0,跌↓,✓,-0.32%,1.0675
2024-04-29,1704.0,跌↓,41.9,涨↑,✗,+0.06%,1.0675
2024-04-30,1705.0,跌↓,38.4,涨↑,✗,+3.24%,1.0675
2024-05-06,1760.2,跌↓,28.5,涨↑,✗,+0.56%,1.0675
2024-05-07,1770.0,跌↓,42.9,跌↓,✓,-0.34%,1.0675
2024-05-08,1763.97,跌↓,34.9,跌↓,✓,-0.45%,1.0675
2024-05-09,1756.0,跌↓,33.7,跌↓,✓,-0.97%,1.0675
2024-05-10,1738.98,跌↓,44.5,跌↓,✓,-1.90%,1.0675
2024-05-13,1706.0,跌↓,41.9,跌↓,✓,-0.24%,1.0675
2024-05-14,1701.98,涨↑,54.4,跌↓,✗,-0.12%,1.0662
2024-05-15,1700.0,涨↑,67.1,涨↑,✓,+0.26%,1.0691
2024-05-16,1704.5,涨↑,56.3,涨↑,✓,+0.62%,1.0756
2024-05-17,1715.0,涨↑,51.1,跌↓,✗,-0.35%,1.0719
2024-05-20,1709.0,涨↑,52.1,跌↓,✗,-0.23%,1.0694
2024-05-21,1705.0,涨↑,54.6,跌↓,✗,-0.43%,1.0648
2024-05-22,1697.71,涨↑,58.8,跌↓,✗,-0.34%,1.0612
2024-05-23,1692.01,涨↑,63.1,跌↓,✗,-0.88%,1.0519
2024-05-24,1677.08,涨↑,67.0,跌↓,✗,-0.42%,1.0475
2024-05-27,1670.12,涨↑,67.4,跌↓,✗,-0.33%,1.0441
2024-05-28,1664.64,涨↑,69.9,涨↑,✓,+0.56%,1.0499
2024-05-29,1674.0,涨↑,62.5,跌↓,✗,-1.49%,1.0342
2024-05-30,1649.0,涨↑,59.9,跌↓,✗,-0.03%,1.0339
2024-04-30,1705.0,跌↓,41.5,涨↑,✗,+3.24%,1.0339
2024-05-06,1760.2,跌↓,31.9,涨↑,✗,+0.56%,1.0339
2024-05-07,1770.0,跌↓,43.7,跌↓,✓,-0.34%,1.0339
2024-05-08,1763.97,跌↓,36.1,跌↓,✓,-0.45%,1.0339
2024-05-09,1756.0,跌↓,37.5,跌↓,✓,-0.97%,1.0339
2024-05-10,1738.98,跌↓,46.7,跌↓,✓,-1.90%,1.0339
2024-05-13,1706.0,跌↓,49.4,跌↓,✓,-0.24%,1.0339
2024-05-14,1701.98,涨↑,61.7,跌↓,✗,-0.12%,1.0327
2024-05-15,1700.0,涨↑,66.8,涨↑,✓,+0.26%,1.0354
2024-05-16,1704.5,涨↑,58.5,涨↑,✓,+0.62%,1.0418
2024-05-17,1715.0,涨↑,50.2,跌↓,✗,-0.35%,1.0382
2024-05-20,1709.0,跌↓,48.9,跌↓,✓,-0.23%,1.0382
2024-05-21,1705.0,涨↑,52.9,跌↓,✗,-0.43%,1.0337
2024-05-22,1697.71,涨↑,58.0,跌↓,✗,-0.34%,1.0303
2024-05-23,1692.01,涨↑,63.1,跌↓,✗,-0.88%,1.0212
2024-05-24,1677.08,涨↑,67.4,跌↓,✗,-0.42%,1.0169
2024-05-27,1670.12,涨↑,69.6,跌↓,✗,-0.33%,1.0136
2024-05-28,1664.64,涨↑,69.9,涨↑,✓,+0.56%,1.0193
2024-05-29,1674.0,涨↑,59.8,跌↓,✗,-1.49%,1.0041
2024-05-30,1649.0,涨↑,58.0,跌↓,✗,-0.03%,1.0037
2024-05-31,1648.45,涨↑,66.6,跌↓,✗,-0.55%,0.9982
2024-06-03,1639.39,涨↑,64.4,涨↑,✓,+0.84%,1.0066
2024-06-04,1653.2,涨↑,58.2,跌↓,✗,-0.56%,1.001
2024-06-05,1644.0,涨↑,64.5,跌↓,✗,-0.25%,0.9985
2024-06-06,1639.81,涨↑,60.2,跌↓,✗,-1.26%,0.9859
2024-06-07,1619.18,涨↑,64.5,跌↓,✗,-3.10%,0.9554
2024-06-11,1569.0,涨↑,69.7,涨↑,✓,+0.17%,0.957
2024-06-12,1571.68,涨↑,65.6,跌↓,✗,-1.06%,0.9468
2024-06-13,1555.01,涨↑,64.9,跌↓,✗,-0.00%,0.9468
2024-06-14,1555.0,涨↑,65.5,跌↓,✗,-0.87%,0.9386
2024-05-17,1715.0,涨↑,51.9,跌↓,✗,-0.35%,0.9353
2024-05-20,1709.0,涨↑,53.1,跌↓,✗,-0.23%,0.9331
2024-05-21,1705.0,涨↑,55.8,跌↓,✗,-0.43%,0.9291
2024-05-22,1697.71,涨↑,57.7,跌↓,✗,-0.34%,0.926
2024-05-23,1692.01,涨↑,62.2,跌↓,✗,-0.88%,0.9179
2024-05-24,1677.08,涨↑,67.6,跌↓,✗,-0.42%,0.914
2024-05-27,1670.12,涨↑,71.6,跌↓,✗,-0.33%,0.911
2024-05-28,1664.64,涨↑,71.9,涨↑,✓,+0.56%,0.9162
2024-05-29,1674.0,涨↑,62.7,跌↓,✗,-1.49%,0.9025
2024-05-30,1649.0,涨↑,57.3,跌↓,✗,-0.03%,0.9022
2024-05-31,1648.45,涨↑,67.4,跌↓,✗,-0.55%,0.8972
2024-06-03,1639.39,涨↑,63.7,涨↑,✓,+0.84%,0.9048
2024-06-04,1653.2,涨↑,59.2,跌↓,✗,-0.56%,0.8998
2024-06-05,1644.0,涨↑,65.6,跌↓,✗,-0.25%,0.8975
2024-06-06,1639.81,涨↑,63.0,跌↓,✗,-1.26%,0.8862
2024-06-07,1619.18,涨↑,62.3,跌↓,✗,-3.10%,0.8587
2024-06-11,1569.0,涨↑,65.1,涨↑,✓,+0.17%,0.8602
2024-06-12,1571.68,涨↑,62.4,跌↓,✗,-1.06%,0.851
2024-06-13,1555.01,涨↑,62.6,跌↓,✗,-0.00%,0.851
2024-06-14,1555.0,涨↑,65.3,跌↓,✗,-0.87%,0.8437
2024-06-17,1541.5,涨↑,70.3,跌↓,✗,-1.30%,0.8327
2024-06-18,1521.5,涨↑,70.6,跌↓,✗,-1.35%,0.8215
2024-06-19,1501.0,涨↑,62.5,跌↓,✗,-0.06%,0.821
2024-06-20,1500.1,涨↑,68.0,跌↓,✗,-1.94%,0.8051
2024-06-21,1471.0,涨↑,64.5,涨↑,✓,+0.38%,0.8081
2024-06-24,1476.55,涨↑,76.4,涨↑,✓,+0.68%,0.8136
2024-06-25,1486.65,涨↑,73.1,涨↑,✓,+0.17%,0.815
2024-06-26,1489.22,涨↑,68.9,涨↑,✓,+0.09%,0.8157
2024-06-27,1490.49,涨↑,63.0,跌↓,✗,-1.55%,0.8031
2024-06-28,1467.39,涨↑,76.4,跌↓,✗,-1.84%,0.7883
2024-05-31,1648.45,涨↑,52.5,跌↓,✗,-0.55%,0.784
2024-06-03,1639.39,跌↓,48.5,涨↑,✗,+0.84%,0.784
2024-06-04,1653.2,跌↓,49.5,跌↓,✓,-0.56%,0.784
2024-06-05,1644.0,涨↑,53.5,跌↓,✗,-0.25%,0.782
2024-06-06,1639.81,跌↓,47.0,跌↓,✓,-1.26%,0.782
2024-06-07,1619.18,跌↓,45.6,跌↓,✓,-3.10%,0.782
2024-06-11,1569.0,涨↑,58.3,涨↑,✓,+0.17%,0.7833
2024-06-12,1571.68,涨↑,56.5,跌↓,✗,-1.06%,0.775
2024-06-13,1555.01,涨↑,57.5,跌↓,✗,-0.00%,0.775
2024-06-14,1555.0,涨↑,63.8,跌↓,✗,-0.87%,0.7683
2024-06-17,1541.5,涨↑,69.1,跌↓,✗,-1.30%,0.7583
2024-06-18,1521.5,涨↑,67.1,跌↓,✗,-1.35%,0.7481
2024-06-19,1501.0,涨↑,57.4,跌↓,✗,-0.06%,0.7476
2024-06-20,1500.1,涨↑,68.3,跌↓,✗,-1.94%,0.7331
2024-06-21,1471.0,涨↑,61.0,涨↑,✓,+0.38%,0.7359
2024-06-24,1476.55,涨↑,76.6,涨↑,✓,+0.68%,0.7409
2024-06-25,1486.65,涨↑,72.0,涨↑,✓,+0.17%,0.7422
2024-06-26,1489.22,涨↑,67.2,涨↑,✓,+0.09%,0.7429
2024-06-27,1490.49,涨↑,62.2,跌↓,✗,-1.55%,0.7313
2024-06-28,1467.39,涨↑,74.3,跌↓,✗,-1.84%,0.7179
2024-07-01,1440.38,涨↑,71.5,涨↑,✓,+3.49%,0.743
2024-07-02,1490.7,涨↑,75.0,涨↑,✓,+0.62%,0.7476
2024-07-03,1500.0,涨↑,75.5,跌↓,✗,-0.95%,0.7405
2024-07-04,1485.74,涨↑,73.7,跌↓,✗,-2.20%,0.7242
2024-07-05,1453.0,涨↑,64.8,跌↓,✗,-2.27%,0.7077
2024-07-08,1420.0,涨↑,75.1,涨↑,✓,+1.27%,0.7167
2024-07-09,1438.03,涨↑,72.5,跌↓,✗,-0.03%,0.7165
2024-07-10,1437.59,涨↑,73.9,涨↑,✓,+1.70%,0.7287
2024-07-11,1462.09,涨↑,55.2,涨↑,✓,+1.14%,0.737
