板块,代码,名称,现价,涨跌%,成交额(亿),换手%,板块总成交额(亿)
光伏设备,605117,德业股份,11.71,+5.26%,62.320,4.63,676.2
光伏设备,603778,国晟科技,8.64,+5.95%,41.564,19.56,676.2
光伏设备,601012,隆基绿能,6.25,+3.27%,37.907,2.86,676.2
光伏设备,002506,协鑫集成,6.76,+2.70%,28.902,10.93,676.2
消费电子,002475,立讯精密,3.47,+0.72%,139.585,3.29,673.3
消费电子,601138,工业富联,2.03,-1.45%,75.850,0.68,673.3
消费电子,300857,协创数据,7.76,-0.12%,45.789,6.28,673.3
消费电子,603629,利通电子,12.71,+0.00%,39.389,20.51,673.3
消费电子,300136,信维通信,2.55,-0.70%,27.193,5.17,673.3
消费电子零部件及组装,002475,立讯精密,3.47,+0.72%,139.585,3.29,645.2
消费电子零部件及组装,601138,工业富联,2.03,-1.45%,75.850,0.68,645.2
消费电子零部件及组装,300857,协创数据,7.76,-0.12%,45.789,6.28,645.2
消费电子零部件及组装,603629,利通电子,12.71,+0.00%,39.389,20.51,645.2
消费电子零部件及组装,300136,信维通信,2.55,-0.70%,27.193,5.17,645.2
通用设备,002342,巨力索具,7.1,+5.42%,43.377,28.03,628.2
通用设备,002131,利欧股份,3.88,+0.75%,42.126,8.96,628.2
通用设备,301018,申菱环境,6.55,+7.07%,21.436,9.32,628.2
通用设备,002272,川润股份,5.07,-0.47%,14.492,19.54,628.2
通用设备,300567,精测电子,5.36,-2.30%,13.175,4.58,628.2
汽车零部件,000338,潍柴动力,4.67,-0.44%,26.502,1.99,582.6
汽车零部件,002328,新朋股份,9.1,+6.43%,24.735,40.46,582.6
汽车零部件,000559,万向钱潮,1.96,-1.04%,18.000,3.39,582.6
汽车零部件,002536,飞龙股份,3.82,+1.46%,17.796,9.45,582.6
汽车零部件,603306,华懋科技,3.16,-0.11%,16.949,5.05,582.6
锂电池,300750,宁德时代,4.17,+2.68%,176.255,0.97,564.8
锂电池,300014,亿纬锂能,4.5,+1.36%,60.176,4.14,564.8
锂电池,300207,欣旺达,4.54,+1.08%,58.568,11.82,564.8
锂电池,002074,国轩高科,2.58,+1.78%,53.588,7.89,564.8
锂电池,301217,铜冠铜箔,12.06,+7.54%,26.079,7.1,564.8
公用事业,001896,豫能控股,9.16,+9.08%,22.099,10.4,533.1
公用事业,002015,协鑫能科,2.88,+0.86%,18.420,6.51,533.1
公用事业,000155,川能动力,5.78,+4.22%,18.316,5.84,533.1
公用事业,601778,晶科科技,10.89,+8.51%,18.045,9.57,533.1
公用事业,600821,金开新能,4.88,+3.38%,17.136,10.7,533.1
IT服务Ⅲ,000938,紫光股份,6.72,+4.25%,60.714,7.6,522.7
IT服务Ⅲ,300017,网宿科技,6.7,+2.19%,44.381,10.6,522.7
IT服务Ⅲ,300166,东方国信,13.47,+6.99%,36.815,24.04,522.7
IT服务Ⅲ,600410,华胜天成,2.55,-1.11%,30.437,10.31,522.7
IT服务Ⅲ,000815,美利云,12.04,+5.74%,28.762,20.9,522.7
IT服务Ⅱ,000938,紫光股份,6.72,+4.25%,60.714,7.6,522.7
IT服务Ⅱ,300017,网宿科技,6.7,+2.19%,44.381,10.6,522.7
IT服务Ⅱ,300166,东方国信,13.47,+6.99%,36.815,24.04,522.7
