板块,代码,名称,现价,涨跌%,成交额(亿),换手%,板块总成交额(亿)
其他电子Ⅱ,000062,深圳华强,2.76,+0.38%,12.657,4.22,204.7
其他电子Ⅱ,001287,中电港,5.64,+2.01%,11.573,5.65,204.7
其他电子Ⅱ,002130,沃尔核材,3.94,+2.03%,11.488,4.01,204.7
光伏电池组件,603778,国晟科技,8.64,+5.95%,41.564,19.56,203.1
光伏电池组件,002506,协鑫集成,6.76,+2.70%,28.902,10.93,203.1
光伏电池组件,002309,中利集团,9.09,+1.14%,18.971,17.96,203.1
光伏电池组件,600537,亿晶光电,7.37,+3.44%,14.327,28.69,203.1
光伏电池组件,002865,钧达股份,2.6,-1.36%,12.515,7.63,203.1
激光设备,000988,华工科技,8.92,+7.97%,134.517,11.12,193.0
激光设备,002008,大族激光,2.36,-1.01%,24.751,3.41,193.0
激光设备,688025,杰普特,3.21,-3.12%,9.980,3.88,193.0
激光设备,300747,锐科激光,3.97,+3.44%,8.412,5.04,193.0
激光设备,688170,德龙激光,5.75,+3.63%,4.057,7.26,193.0
游戏Ⅲ,002558,巨人网络,12.7,-8.80%,48.321,7.92,188.2
游戏Ⅲ,002517,恺英网络,6.54,-10.00%,31.639,9.06,188.2
游戏Ⅲ,002602,世纪华通,6.27,-3.85%,25.623,2.31,188.2
游戏Ⅲ,002624,完美世界,7.78,-2.69%,19.809,5.58,188.2
游戏Ⅲ,300113,顺网科技,5.42,+0.77%,15.326,10.34,188.2
游戏Ⅱ,002558,巨人网络,12.7,-8.80%,48.321,7.92,188.2
游戏Ⅱ,002517,恺英网络,6.54,-10.00%,31.639,9.06,188.2
游戏Ⅱ,002602,世纪华通,6.27,-3.85%,25.623,2.31,188.2
游戏Ⅱ,002624,完美世界,7.78,-2.69%,19.809,5.58,188.2
游戏Ⅱ,300113,顺网科技,5.42,+0.77%,15.326,10.34,188.2
铜,601899,紫金矿业,1.45,-0.27%,59.217,0.86,186.6
铜,603993,洛阳钼业,2.0,-0.53%,31.645,0.96,186.6
铜,600362,江西铜业,1.78,+1.43%,16.968,1.8,186.6
铜,000630,铜陵有色,3.28,+2.30%,15.971,2.32,186.6
铜,600711,盛屯矿业,1.97,+0.00%,12.137,2.78,186.6
输变电设备,600089,特变电工,2.07,-0.63%,34.883,2.59,185.1
输变电设备,002028,思源电气,4.92,-4.65%,31.810,2.6,185.1
输变电设备,601179,中国西电,2.86,-1.62%,24.788,3.07,185.1
输变电设备,688676,金盘科技,3.56,-1.28%,13.234,3.46,185.1
输变电设备,600312,平高电气,3.85,-6.20%,11.119,4.23,185.1
其他电源设备Ⅱ,600482,中国动力,7.42,+1.88%,36.093,3.96,184.4
其他电源设备Ⅱ,600875,东方电气,4.05,+0.53%,33.573,3.75,184.4
其他电源设备Ⅱ,300870,欧陆通,5.61,-1.24%,18.255,5.35,184.4
其他电源设备Ⅱ,002851,麦格米特,3.31,-0.63%,15.550,3.26,184.4
其他电源设备Ⅱ,002335,科华数据,2.39,-0.45%,10.711,3.98,184.4
铝,601600,中国铝业,2.59,-1.54%,29.622,1.86,180.7
铝,000807,云铝股份,3.01,-0.69%,16.644,1.4,180.7
铝,002824,和胜股份,11.12,+7.24%,16.262,27.72,180.7
铝,000933,神火股份,3.06,-1.07%,16.198,2.17,180.7
铝,000612,焦作万方,2.12,+10.02%,11.593,7.23,180.7
玻璃玻纤,301526,国际复材,19.41,+16.04%,45.775,22.92,172.6
玻璃玻纤,600176,中国巨石,10.69,+10.00%,37.685,3.02,172.6
玻璃玻纤,002080,中材科技,11.28,+10.00%,31.128,3.81,172.6
玻璃玻纤,603256,宏和科技,10.3,+10.00%,15.829,2.07,172.6
玻璃玻纤,605006,山东玻纤,10.77,+4.55%,9.884,15.77,172.6
半导体设备,002371,北方华创,2.79,-0.92%,30.842,0.9,172.1
半导体设备,688012,中微公司,2.41,-2.29%,29.831,1.49,172.1
半导体设备,300604,长川科技,2.89,-2.00%,20.448,3.06,172.1
半导体设备,688072,拓荆科技,3.27,-0.64%,19.788,1.78,172.1
半导体设备,688361,中科飞测,3.16,-3.00%,9.230,2.23,172.1
钢铁,600010,包钢股份,6.36,+5.30%,66.273,7.11,171.0
钢铁,600126,杭钢股份,6.23,+1.93%,16.788,5.57,171.0
钢铁,001203,大中矿业,12.06,+10.00%,16.637,3.12,171.0
钢铁,000959,首钢股份,7.92,+2.57%,6.439,1.79,171.0
钢铁,002478,常宝股份,5.75,-4.07%,5.293,6.75,171.0
银行,600036,招商银行,0.61,-0.59%,20.477,0.25,166.1
银行,601288,农业银行,1.82,+0.76%,18.706,0.09,166.1
银行,601398,工商银行,1.64,+0.82%,16.829,0.09,166.1
银行,601988,中国银行,1.95,+0.71%,11.286,0.1,166.1
银行,601166,兴业银行,0.81,-0.59%,9.254,0.24,166.1
银行Ⅱ,600036,招商银行,0.61,-0.59%,20.477,0.25,166.1
银行Ⅱ,601288,农业银行,1.82,+0.76%,18.706,0.09,166.1
银行Ⅱ,601398,工商银行,1.64,+0.82%,16.829,0.09,166.1
银行Ⅱ,601988,中国银行,1.95,+0.71%,11.286,0.1,166.1
银行Ⅱ,601166,兴业银行,0.81,-0.59%,9.254,0.24,166.1
光学元件,002222,福晶科技,5.03,+1.08%,28.116,7.01,165.8
光学元件,002273,水晶光电,5.92,+1.31%,26.739,6.41,165.8
光学元件,688195,腾景科技,6.91,+0.83%,24.680,5.92,165.8
光学元件,301183,东田微,6.11,+2.63%,14.502,13.09,165.8
光学元件,300489,光智科技,8.66,+0.74%,11.952,12.98,165.8
医疗服务,603259,药明康德,1.76,-0.58%,26.367,1.01,163.2
医疗服务,603127,昭衍新药,5.59,-5.07%,13.659,5.97,163.2
医疗服务,002821,凯莱英,3.6,-0.26%,10.263,2.66,163.2
医疗服务,300759,康龙化成,2.86,-1.41%,8.907,2.04,163.2
医疗服务,603122,合富中国,5.35,-1.32%,7.561,10.95,163.2
通信应用增值服务,300442,润泽科技,6.92,+2.50%,48.715,3.37,163.1
通信应用增值服务,002467,二六三,12.31,+10.07%,27.313,26.06,163.1
通信应用增值服务,603881,数据港,4.72,+0.88%,25.844,8.96,163.1
通信应用增值服务,300383,光环新网,6.34,+2.33%,25.827,8.21,163.1
通信应用增值服务,300738,奥飞数据,4.84,+2.40%,14.764,6.55,163.1
玻纤制造,301526,国际复材,19.41,+16.04%,45.775,22.92,162.5
玻纤制造,600176,中国巨石,10.69,+10.00%,37.685,3.02,162.5
玻纤制造,002080,中材科技,11.28,+10.00%,31.128,3.81,162.5
玻纤制造,603256,宏和科技,10.3,+10.00%,15.829,2.07,162.5
玻纤制造,605006,山东玻纤,10.77,+4.55%,9.884,15.77,162.5
模拟芯片设计,300782,卓胜微,6.87,+2.16%,34.389,7.44,157.3
模拟芯片设计,688270,臻镭科技,6.48,+1.44%,21.351,6.55,157.3
模拟芯片设计,300661,圣邦股份,2.94,-1.95%,17.039,3.8,157.3
模拟芯片设计,300671,富满微,12.64,+10.26%,14.367,13.9,157.3
模拟芯片设计,688141,杰华特,7.64,-2.03%,12.836,4.38,157.3
风电设备,002202,金风科技,2.49,+0.29%,29.515,3.64,153.8
风电设备,002487,大金重工,6.96,+5.66%,15.889,3.16,153.8
风电设备,603063,禾望电气,6.95,-1.89%,15.195,10.35,153.8
风电设备,301232,飞沃科技,8.53,+5.09%,12.544,15.47,153.8
风电设备,601615,明阳智能,2.66,-1.15%,10.424,2.8,153.8
线缆部件及其他,002560,通达股份,7.66,+5.23%,22.475,35.97,152.2
线缆部件及其他,603618,杭电股份,3.73,-1.99%,14.452,8.85,152.2
线缆部件及其他,600869,远东股份,3.59,-2.44%,12.863,3.81,152.2
线缆部件及其他,002471,中超控股,3.41,-1.25%,11.812,10.19,152.2
线缆部件及其他,000720,新能泰山,9.02,-1.10%,10.874,16.53,152.2
分立器件,688048,长光华芯,12.39,+6.90%,44.025,10.09,149.7
分立器件,688498,源杰科技,9.97,+3.34%,40.770,3.78,149.7
分立器件,688167,炬光科技,9.01,+3.17%,19.727,5.64,149.7
分立器件,300373,扬杰科技,3.1,-0.60%,6.846,1.62,149.7
分立器件,688693,锴威特,9.26,+4.34%,6.846,21.06,149.7
环境治理,603588,高能环境,5.72,-3.55%,20.197,8.18,149.6
环境治理,603200,上海洗霸,2.95,+0.96%,9.400,8.64,149.6
环境治理,301500,飞南资源,8.82,-8.17%,7.297,21.67,149.6
环境治理,002266,浙富控股,6.82,+3.76%,5.878,2.75,149.6
环境治理,000711,ST京蓝,6.29,-2.29%,5.034,6.25,149.6
商贸零售,600415,小商品城,4.05,-5.50%,18.260,2.67,148.3
商贸零售,002183,怡 亚 通,7.65,-0.35%,11.796,8.0,148.3
商贸零售,601888,中国中免,1.42,-0.20%,10.815,0.81,148.3
商贸零售,601933,永辉超市,4.03,+2.69%,5.227,1.52,148.3
商贸零售,003010,若羽臣,6.39,+0.38%,4.893,7.1,148.3
广告营销,300058,蓝色光标,5.88,+0.30%,72.280,12.59,147.3
广告营销,600986,浙文互联,4.64,+1.45%,15.651,10.06,147.3
广告营销,301171,易点天下,3.81,-0.83%,12.083,6.96,147.3
广告营销,002027,分众传媒,3.71,-3.86%,11.889,1.31,147.3
广告营销,002400,省广集团,1.51,-0.23%,5.372,3.63,147.3
火力发电,001896,豫能控股,9.16,+9.08%,22.099,10.4,146.7
火力发电,600396,华电辽能,11.75,+9.94%,17.107,16.5,146.7
火力发电,600726,华电能源,4.84,+2.32%,12.984,3.6,146.7
火力发电,600157,永泰能源,1.16,+0.00%,8.188,2.17,146.7
火力发电,000767,晋控电力,6.48,+4.79%,7.008,6.57,146.7
生物制品,000534,万泽股份,6.79,+0.66%,18.719,8.28,144.0
生物制品,688331,荣昌生物,7.4,+7.98%,17.506,7.54,144.0
生物制品,688180,君实生物-U,12.13,+9.16%,16.321,5.22,144.0
生物制品,688336,三生国健,7.93,+3.98%,10.207,1.96,144.0
生物制品,600867,通化东宝,3.61,-1.20%,6.054,3.13,144.0
